"Tabela 1384 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Universo"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Ano x Classes de rendimento nominal mensal"
"Cód.","Bairro","2010"
"Cód.","Bairro","Total","Até 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento","Sem declaração"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","1682","42","431","319","217","73","9","1","590","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","911","58","226","202","100","26","6","3","290","-"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","999","27","281","197","104","19","4","3","364","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","2399","114","629","427","256","63","11","3","896","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","2497","221","795","398","99","7","-","-","977","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","2109","123","594","433","213","41","4","-","701","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","342","43","107","49","16","4","-","2","121","-"
"1100049001","Centro - Cacoal (RO)","2958","31","395","517","576","318","101","44","976","-"
"1100049002","Jardim Clodoaldo - Cacoal (RO)","4922","137","1035","993","814","261","64","14","1604","-"
"1100049003","Princesa Isabel - Cacoal (RO)","3378","44","681","665","573","225","56","15","1119","-"
"1100049004","Liberdade - Cacoal (RO)","2436","56","496","493","362","107","12","7","903","-"
"1100049005","Novo Horizonte - Cacoal (RO)","2778","61","594","656","470","124","23","9","841","-"
"1100049006","Novo Cacoal - Cacoal (RO)","3817","96","707","863","646","177","27","8","1293","-"
"1100049007","Residencial Parque Brizon - Cacoal (RO)","2007","64","519","462","276","58","8","7","613","-"
"1100049008","Vilage do Sol - Cacoal (RO)","4978","286","1294","1190","473","59","10","9","1657","-"
"1100049009","Saúde - Cacoal (RO)","700","16","151","171","78","16","2","1","265","-"
"1100049010","Teixeirão - Cacoal (RO)","3869","174","1097","858","348","47","5","2","1338","-"
"1100049011","Floresta - Cacoal (RO)","2240","90","515","541","329","87","14","1","663","-"
"1100049012","INCRA - Cacoal (RO)","805","5","143","107","151","86","32","12","269","-"
"1100049013","Santo Antônio - Cacoal (RO)","1184","42","291","256","90","15","3","1","486","-"
"1100049014","Industrial - Cacoal (RO)","981","23","222","240","140","33","5","2","316","-"
"1100049015","Cristal do Arco-Íris - Cacoal (RO)","1238","29","253","317","148","21","6","1","463","-"
"1100049016","Parque Industrial Governador Jerônimo Santana - Cacoal (RO)","..","X","X","X","X","X","X","X","X","X"
