"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"1100015","Alta Floresta D'Oeste (RO)","Total","Total","7270"
"1100015","Alta Floresta D'Oeste (RO)","Próprio","Total","5364"
"1100015","Alta Floresta D'Oeste (RO)","Alugado","Total","822"
"1100015","Alta Floresta D'Oeste (RO)","Cedido","Total","1039"
"1100015","Alta Floresta D'Oeste (RO)","Outra condição","Total","45"
"1100023","Ariquemes (RO)","Total","Total","27166"
"1100023","Ariquemes (RO)","Próprio","Total","17937"
"1100023","Ariquemes (RO)","Alugado","Total","6362"
"1100023","Ariquemes (RO)","Cedido","Total","2715"
"1100023","Ariquemes (RO)","Outra condição","Total","152"
"1100031","Cabixi (RO)","Total","Total","1975"
"1100031","Cabixi (RO)","Próprio","Total","1504"
"1100031","Cabixi (RO)","Alugado","Total","149"
"1100031","Cabixi (RO)","Cedido","Total","290"
"1100031","Cabixi (RO)","Outra condição","Total","32"
"1100049","Cacoal (RO)","Total","Total","24215"
"1100049","Cacoal (RO)","Próprio","Total","16203"
"1100049","Cacoal (RO)","Alugado","Total","5340"
"1100049","Cacoal (RO)","Cedido","Total","2568"
"1100049","Cacoal (RO)","Outra condição","Total","104"
"1100056","Cerejeiras (RO)","Total","Total","5348"
"1100056","Cerejeiras (RO)","Próprio","Total","3959"
"1100056","Cerejeiras (RO)","Alugado","Total","779"
"1100056","Cerejeiras (RO)","Cedido","Total","587"
"1100056","Cerejeiras (RO)","Outra condição","Total","23"
"1100064","Colorado do Oeste (RO)","Total","Total","5959"
"1100064","Colorado do Oeste (RO)","Próprio","Total","4685"
"1100064","Colorado do Oeste (RO)","Alugado","Total","589"
"1100064","Colorado do Oeste (RO)","Cedido","Total","675"
"1100064","Colorado do Oeste (RO)","Outra condição","Total","10"
"1100072","Corumbiara (RO)","Total","Total","2649"
"1100072","Corumbiara (RO)","Próprio","Total","1943"
"1100072","Corumbiara (RO)","Alugado","Total","201"
"1100072","Corumbiara (RO)","Cedido","Total","491"
"1100072","Corumbiara (RO)","Outra condição","Total","14"
"1100080","Costa Marques (RO)","Total","Total","3696"
"1100080","Costa Marques (RO)","Próprio","Total","2796"
"1100080","Costa Marques (RO)","Alugado","Total","353"
"1100080","Costa Marques (RO)","Cedido","Total","532"
"1100080","Costa Marques (RO)","Outra condição","Total","15"
"1100098","Espigão D'Oeste (RO)","Total","Total","8683"
"1100098","Espigão D'Oeste (RO)","Próprio","Total","6394"
"1100098","Espigão D'Oeste (RO)","Alugado","Total","1201"
"1100098","Espigão D'Oeste (RO)","Cedido","Total","1025"
"1100098","Espigão D'Oeste (RO)","Outra condição","Total","63"
"1100106","Guajará-Mirim (RO)","Total","Total","10684"
"1100106","Guajará-Mirim (RO)","Próprio","Total","8150"
"1100106","Guajará-Mirim (RO)","Alugado","Total","1582"
"1100106","Guajará-Mirim (RO)","Cedido","Total","875"
"1100106","Guajará-Mirim (RO)","Outra condição","Total","77"
"1100114","Jaru (RO)","Total","Total","15910"
"1100114","Jaru (RO)","Próprio","Total","10800"
"1100114","Jaru (RO)","Alugado","Total","2885"
"1100114","Jaru (RO)","Cedido","Total","2044"
"1100114","Jaru (RO)","Outra condição","Total","181"
"1100122","Ji-Paraná (RO)","Total","Total","35567"
"1100122","Ji-Paraná (RO)","Próprio","Total","24332"
"1100122","Ji-Paraná (RO)","Alugado","Total","7789"
"1100122","Ji-Paraná (RO)","Cedido","Total","3351"
"1100122","Ji-Paraná (RO)","Outra condição","Total","95"
"1100130","Machadinho D'Oeste (RO)","Total","Total","9154"
"1100130","Machadinho D'Oeste (RO)","Próprio","Total","6635"
"1100130","Machadinho D'Oeste (RO)","Alugado","Total","1130"
"1100130","Machadinho D'Oeste (RO)","Cedido","Total","1302"
"1100130","Machadinho D'Oeste (RO)","Outra condição","Total","87"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","Total","5916"
"1100148","Nova Brasilândia D'Oeste (RO)","Próprio","Total","4586"
"1100148","Nova Brasilândia D'Oeste (RO)","Alugado","Total","476"
"1100148","Nova Brasilândia D'Oeste (RO)","Cedido","Total","829"
"1100148","Nova Brasilândia D'Oeste (RO)","Outra condição","Total","25"
"1100155","Ouro Preto do Oeste (RO)","Total","Total","11652"
"1100155","Ouro Preto do Oeste (RO)","Próprio","Total","8149"
"1100155","Ouro Preto do Oeste (RO)","Alugado","Total","1944"
"1100155","Ouro Preto do Oeste (RO)","Cedido","Total","1530"
"1100155","Ouro Preto do Oeste (RO)","Outra condição","Total","29"
"1100189","Pimenta Bueno (RO)","Total","Total","10037"
"1100189","Pimenta Bueno (RO)","Próprio","Total","7453"
"1100189","Pimenta Bueno (RO)","Alugado","Total","1700"
"1100189","Pimenta Bueno (RO)","Cedido","Total","867"
"1100189","Pimenta Bueno (RO)","Outra condição","Total","17"
"1100205","Porto Velho (RO)","Total","Total","116863"
"1100205","Porto Velho (RO)","Próprio","Total","82953"
"1100205","Porto Velho (RO)","Alugado","Total","25611"
"1100205","Porto Velho (RO)","Cedido","Total","7794"
"1100205","Porto Velho (RO)","Outra condição","Total","505"
"1100254","Presidente Médici (RO)","Total","Total","6842"
"1100254","Presidente Médici (RO)","Próprio","Total","5145"
"1100254","Presidente Médici (RO)","Alugado","Total","762"
"1100254","Presidente Médici (RO)","Cedido","Total","892"
"1100254","Presidente Médici (RO)","Outra condição","Total","43"
"1100262","Rio Crespo (RO)","Total","Total","997"
"1100262","Rio Crespo (RO)","Próprio","Total","649"
"1100262","Rio Crespo (RO)","Alugado","Total","61"
"1100262","Rio Crespo (RO)","Cedido","Total","286"
"1100262","Rio Crespo (RO)","Outra condição","Total","1"
"1100288","Rolim de Moura (RO)","Total","Total","15790"
"1100288","Rolim de Moura (RO)","Próprio","Total","10993"
"1100288","Rolim de Moura (RO)","Alugado","Total","3215"
"1100288","Rolim de Moura (RO)","Cedido","Total","1531"
"1100288","Rolim de Moura (RO)","Outra condição","Total","51"
"1100296","Santa Luzia D'Oeste (RO)","Total","Total","2746"
"1100296","Santa Luzia D'Oeste (RO)","Próprio","Total","2028"
"1100296","Santa Luzia D'Oeste (RO)","Alugado","Total","225"
"1100296","Santa Luzia D'Oeste (RO)","Cedido","Total","487"
"1100296","Santa Luzia D'Oeste (RO)","Outra condição","Total","6"
"1100304","Vilhena (RO)","Total","Total","23506"
"1100304","Vilhena (RO)","Próprio","Total","15094"
"1100304","Vilhena (RO)","Alugado","Total","6311"
"1100304","Vilhena (RO)","Cedido","Total","2059"
"1100304","Vilhena (RO)","Outra condição","Total","42"
"1100320","São Miguel do Guaporé (RO)","Total","Total","6391"
"1100320","São Miguel do Guaporé (RO)","Próprio","Total","4700"
"1100320","São Miguel do Guaporé (RO)","Alugado","Total","842"
"1100320","São Miguel do Guaporé (RO)","Cedido","Total","817"
"1100320","São Miguel do Guaporé (RO)","Outra condição","Total","32"
"1100338","Nova Mamoré (RO)","Total","Total","6377"
"1100338","Nova Mamoré (RO)","Próprio","Total","4973"
"1100338","Nova Mamoré (RO)","Alugado","Total","740"
"1100338","Nova Mamoré (RO)","Cedido","Total","621"
"1100338","Nova Mamoré (RO)","Outra condição","Total","43"
