"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Tinham banheiro de uso exclusivo do domicílio - 1 banheiro","Tinham banheiro de uso exclusivo do domicílio - 2 banheiros","Tinham banheiro de uso exclusivo do domicílio - 3 banheiros","Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais","Tinham sanitário","Não tinham banheiro nem sanitário"
"Cód.","Bairro","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Total","Total","Total","Total","Total"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","Total","415","179","40","11","1","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","Total","279","46","15","2","6","5"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","Total","Total","309","66","6","1","-","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","Total","630","154","28","7","17","5"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","Total","826","52","4","1","31","10"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","Total","590","137","19","3","17","2"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","Total","116","10","2","1","1","-"
"1100049001","Centro - Cacoal (RO)","Total","Total","583","353","146","69","4","1"
"1100049002","Jardim Clodoaldo - Cacoal (RO)","Total","Total","1304","422","104","37","13","6"
"1100049003","Princesa Isabel - Cacoal (RO)","Total","Total","792","323","104","51","4","3"
"1100049004","Liberdade - Cacoal (RO)","Total","Total","592","205","62","19","2","-"
"1100049005","Novo Horizonte - Cacoal (RO)","Total","Total","675","259","49","20","-","-"
"1100049006","Novo Cacoal - Cacoal (RO)","Total","Total","955","312","96","14","8","2"
"1100049007","Residencial Parque Brizon - Cacoal (RO)","Total","Total","550","135","23","9","5","2"
"1100049008","Vilage do Sol - Cacoal (RO)","Total","Total","1555","218","35","5","11","6"
"1100049009","Saúde - Cacoal (RO)","Total","Total","228","36","3","-","-","-"
"1100049010","Teixeirão - Cacoal (RO)","Total","Total","1202","187","19","3","12","11"
"1100049011","Floresta - Cacoal (RO)","Total","Total","628","160","28","6","-","-"
"1100049012","INCRA - Cacoal (RO)","Total","Total","153","76","40","23","-","-"
"1100049013","Santo Antônio - Cacoal (RO)","Total","Total","379","43","10","2","5","-"
"1100049014","Industrial - Cacoal (RO)","Total","Total","255","78","12","3","1","-"
"1100049015","Cristal do Arco-Íris - Cacoal (RO)","Total","Total","337","84","9","7","3","-"
"1100049016","Parque Industrial Governador Jerônimo Santana - Cacoal (RO)","Total","Total","..","..","..","..","..",".."
"1100049017","Jardim Bandeirantes - Cacoal (RO)","Total","Total","188","29","1","-","1","-"
"1100049018","Jardim Vista Alegre - Cacoal (RO)","Total","Total","1651","173","23","-","21","3"
"1100049019","Conjunto Haley - Cacoal (RO)","Total","Total","653","83","7","-","10","6"
"1100049020","Conjunto Habitacional Nova Esperança - Cacoal (RO)","Total","Total","427","191","43","7","1","3"
"1100049021","Sociedade Bela Vista - Cacoal (RO)","Total","Total","292","8","-","-","70","16"
"1100064001","Centro - Colorado do Oeste (RO)","Total","Total","589","241","69","14","17","3"
"1100064002","Cruzeiro - Colorado do Oeste (RO)","Total","Total","690","79","12","3","7","4"
"1100064003","Jorge Teixeira - Colorado do Oeste (RO)","Total","Total","246","19","3","1","4","-"
"1100064004","Jo Sato - Colorado do Oeste (RO)","Total","Total","218","31","-","2","12","1"
"1100064005","Minas Gerais - Colorado do Oeste (RO)","Total","Total","459","57","7","1","3","1"
"1100064006","Santa Luzia - Colorado do Oeste (RO)","Total","Total","390","68","8","4","4","-"
"1100064007","Odilon Noia - Colorado do Oeste (RO)","Total","Total","115","5","1","-","17","5"
"1100064008","São José - Colorado do Oeste (RO)","Total","Total","295","60","11","2","-","-"
"1100064009","Mato Grosso - Colorado do Oeste (RO)","Total","Total","408","30","3","4","14","3"
