"Tabela 1394 - Domicílios particulares permanentes, por situação do domicílio e existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio, segundo o tipo do domicílio, a condição de ocupação e o tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Ano x Situação do domicílio x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Tinham banheiro de uso exclusivo do domicílio - 1 banheiro","Tinham banheiro de uso exclusivo do domicílio - 2 banheiros","Tinham banheiro de uso exclusivo do domicílio - 3 banheiros","Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais","Tinham sanitário","Não tinham banheiro nem sanitário"
"Cód.","Município","Condição de ocupação do domicílio","Tipo de esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total"
"1100015","Alta Floresta D'Oeste (RO)","Total","Total","7270","5304","847","143","36","685","255"
"1100023","Ariquemes (RO)","Total","Total","27166","20164","4375","1012","310","1132","173"
"1100031","Cabixi (RO)","Total","Total","1975","1639","186","25","10","100","15"
"1100049","Cacoal (RO)","Total","Total","24215","17955","3970","865","286","924","215"
"1100056","Cerejeiras (RO)","Total","Total","5348","4174","798","148","36","165","27"
"1100064","Colorado do Oeste (RO)","Total","Total","5959","4829","747","135","36","163","49"
"1100072","Corumbiara (RO)","Total","Total","2649","2107","201","19","8","242","72"
"1100080","Costa Marques (RO)","Total","Total","3696","2219","345","48","9","991","84"
"1100098","Espigão D'Oeste (RO)","Total","Total","8683","6519","990","192","35","850","97"
"1100106","Guajará-Mirim (RO)","Total","Total","10684","5659","1734","412","134","2499","246"
"1100114","Jaru (RO)","Total","Total","15910","12557","2103","360","110","629","151"
"1100122","Ji-Paraná (RO)","Total","Total","35567","26264","5941","1486","494","1180","202"
"1100130","Machadinho D'Oeste (RO)","Total","Total","9154","6236","629","94","19","1743","433"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","Total","5916","4279","463","63","10","928","173"
"1100155","Ouro Preto do Oeste (RO)","Total","Total","11652","8799","1955","398","87","335","78"
"1100189","Pimenta Bueno (RO)","Total","Total","10037","7662","1589","346","108","281","51"
"1100205","Porto Velho (RO)","Total","Total","116863","76506","23267","6375","2426","7031","1258"
"1100254","Presidente Médici (RO)","Total","Total","6842","5320","855","161","28","398","80"
"1100262","Rio Crespo (RO)","Total","Total","997","785","80","9","3","91","29"
"1100288","Rolim de Moura (RO)","Total","Total","15790","12522","2260","437","124","342","105"
"1100296","Santa Luzia D'Oeste (RO)","Total","Total","2746","2241","297","55","3","89","61"
"1100304","Vilhena (RO)","Total","Total","23506","17212","4466","1045","312","394","77"
"1100320","São Miguel do Guaporé (RO)","Total","Total","6391","4684","508","51","15","996","137"
"1100338","Nova Mamoré (RO)","Total","Total","6377","4268","547","71","13","1202","276"
"1100346","Alvorada D'Oeste (RO)","Total","Total","5011","3740","457","46","6","693","69"
"1100379","Alto Alegre dos Parecis (RO)","Total","Total","3696","2934","293","17","16","248","188"
"1100403","Alto Paraíso (RO)","Total","Total","5071","3494","415","55","12","912","183"
"1100452","Buritis (RO)","Total","Total","9476","7177","696","89","21","1223","270"
"1100502","Novo Horizonte do Oeste (RO)","Total","Total","2983","2641","225","16","4","62","35"
"1100601","Cacaulândia (RO)","Total","Total","1692","1177","146","27","3","281","58"
"1100700","Campo Novo de Rondônia (RO)","Total","Total","3637","2379","178","15","3","853","209"
"1100809","Candeias do Jamari (RO)","Total","Total","5685","3837","628","79","28","926","187"
"1100908","Castanheiras (RO)","Total","Total","1108","906","86","10","2","76","28"
"1100924","Chupinguaia (RO)","Total","Total","2345","1823","185","22","4","286","25"
"1100940","Cujubim (RO)","Total","Total","4591","2910","275","23","7","1112","264"
"1101005","Governador Jorge Teixeira (RO)","Total","Total","3007","2167","210","16","3","446","165"
"1101104","Itapuã do Oeste (RO)","Total","Total","2533","1780","246","37","4","371","95"
"1101203","Ministro Andreazza (RO)","Total","Total","2925","2346","216","24","10","283","46"
"1101302","Mirante da Serra (RO)","Total","Total","3515","2667","327","25","5","410","81"
"1101401","Monte Negro (RO)","Total","Total","4067","2836","368","56","11","554","242"
"1101435","Nova União (RO)","Total","Total","2100","1436","187","14","4","391","68"
"1101450","Parecis (RO)","Total","Total","1389","1034","89","7","6","160","93"
"1101468","Pimenteiras do Oeste (RO)","Total","Total","700","533","77","8","2","68","12"
"1101476","Primavera de Rondônia (RO)","Total","Total","1079","837","102","9","6","106","19"
"1101484","São Felipe D'Oeste (RO)","Total","Total","1810","1571","152","17","3","47","20"
"1101492","São Francisco do Guaporé (RO)","Total","Total","4728","3358","414","45","11","817","83"
"1101500","Seringueiras (RO)","Total","Total","3357","2627","259","30","1","377","63"
"1101559","Teixeirópolis (RO)","Total","Total","1475","1169","159","10","1","101","35"
"1101609","Theobroma (RO)","Total","Total","3068","2146","213","23","5","605","76"
"1101708","Urupá (RO)","Total","Total","3920","3022","354","24","7","383","130"
"1101757","Vale do Anari (RO)","Total","Total","2806","1790","146","9","2","759","100"
"1101807","Vale do Paraíso (RO)","Total","Total","2432","1810","210","17","1","342","52"
"1200013","Acrelândia (AC)","Total","Total","3459","1897","224","25","8","1042","263"
