Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (65 a 69 anos + 70 a 74 anos + 75 a 79 anos + 80 a 89 anos + 90 a 99 anos + 100 anos ou mais);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1100015001;Centro - Alta Floresta D'Oeste (RO);107
1100015002;Liberdade - Alta Floresta D'Oeste (RO);80
1100015003;Cidade Alta - Alta Floresta D'Oeste (RO);81
1100015004;Santa Felicidade - Alta Floresta D'Oeste (RO);177
1100015005;Princesa Isabel - Alta Floresta D'Oeste (RO);213
1100015006;Redondo - Alta Floresta D'Oeste (RO);163
1100015007;Tucanos - Alta Floresta D'Oeste (RO);30
1100049001;Centro - Cacoal (RO);245
1100049002;Jardim Clodoaldo - Cacoal (RO);323
1100049003;Princesa Isabel - Cacoal (RO);234
1100049004;Liberdade - Cacoal (RO);150
1100049005;Novo Horizonte - Cacoal (RO);213
1100049006;Novo Cacoal - Cacoal (RO);279
1100049007;Residencial Parque Brizon - Cacoal (RO);113
1100049008;Vilage do Sol - Cacoal (RO);229
1100049009;Saúde - Cacoal (RO);26
1100049010;Teixeirão - Cacoal (RO);236
1100049011;Floresta - Cacoal (RO);144
1100049012;INCRA - Cacoal (RO);43
1100049013;Santo Antônio - Cacoal (RO);52
1100049014;Industrial - Cacoal (RO);42
1100049015;Cristal do Arco-Íris - Cacoal (RO);72
1100049016;Parque Industrial Governador Jerônimo Santana - Cacoal (RO);..
1100049017;Jardim Bandeirantes - Cacoal (RO);37
1100049018;Jardim Vista Alegre - Cacoal (RO);293
1100049019;Conjunto Haley - Cacoal (RO);89
1100049020;Conjunto Habitacional Nova Esperança - Cacoal (RO);102
1100049021;Sociedade Bela Vista - Cacoal (RO);37
1100064001;Centro - Colorado do Oeste (RO);174
1100064002;Cruzeiro - Colorado do Oeste (RO);192
1100064003;Jorge Teixeira - Colorado do Oeste (RO);57
1100064004;Jo Sato - Colorado do Oeste (RO);70
1100064005;Minas Gerais - Colorado do Oeste (RO);128
1100064006;Santa Luzia - Colorado do Oeste (RO);101
1100064007;Odilon Noia - Colorado do Oeste (RO);36
1100064008;São José - Colorado do Oeste (RO);68
1100064009;Mato Grosso - Colorado do Oeste (RO);92
