Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (65 a 69 anos + 70 a 74 anos + 75 a 79 anos + 80 a 89 anos + 90 a 99 anos + 100 anos ou mais);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
1100015;Alta Floresta D'Oeste (RO);1425
1100023;Ariquemes (RO);3943
1100031;Cabixi (RO);434
1100049;Cacoal (RO);4387
1100056;Cerejeiras (RO);1114
1100064;Colorado do Oeste (RO);1397
1100072;Corumbiara (RO);499
1100080;Costa Marques (RO);524
1100098;Espigão D'Oeste (RO);1498
1100106;Guajará-Mirim (RO);2050
1100114;Jaru (RO);2923
1100122;Ji-Paraná (RO);5887
1100130;Machadinho D'Oeste (RO);1314
1100148;Nova Brasilândia D'Oeste (RO);1092
1100155;Ouro Preto do Oeste (RO);2289
1100189;Pimenta Bueno (RO);1715
1100205;Porto Velho (RO);15114
1100254;Presidente Médici (RO);1595
1100262;Rio Crespo (RO);211
1100288;Rolim de Moura (RO);2818
1100296;Santa Luzia D'Oeste (RO);612
1100304;Vilhena (RO);3398
1100320;São Miguel do Guaporé (RO);1013
1100338;Nova Mamoré (RO);860
1100346;Alvorada D'Oeste (RO);1033
1100379;Alto Alegre dos Parecis (RO);623
1100403;Alto Paraíso (RO);843
1100452;Buritis (RO);1230
1100502;Novo Horizonte do Oeste (RO);667
1100601;Cacaulândia (RO);340
1100700;Campo Novo de Rondônia (RO);453
1100809;Candeias do Jamari (RO);784
1100908;Castanheiras (RO);255
1100924;Chupinguaia (RO);286
1100940;Cujubim (RO);440
1101005;Governador Jorge Teixeira (RO);601
1101104;Itapuã do Oeste (RO);412
1101203;Ministro Andreazza (RO);605
1101302;Mirante da Serra (RO);798
1101401;Monte Negro (RO);774
1101435;Nova União (RO);407
1101450;Parecis (RO);208
1101468;Pimenteiras do Oeste (RO);120
1101476;Primavera de Rondônia (RO);242
1101484;São Felipe D'Oeste (RO);426
1101492;São Francisco do Guaporé (RO);626
1101500;Seringueiras (RO);533
1101559;Teixeirópolis (RO);373
1101609;Theobroma (RO);589
1101708;Urupá (RO);760
1101757;Vale do Anari (RO);502
1101807;Vale do Paraíso (RO);474
1200013;Acrelândia (AC);539
1200054;Assis Brasil (AC);260
1200104;Brasiléia (AC);1092
1200138;Bujari (AC);396
1200179;Capixaba (AC);382
1200203;Cruzeiro do Sul (AC);3546
1200252;Epitaciolândia (AC);800
1200302;Feijó (AC);1230
1200328;Jordão (AC);130
1200336;Mâncio Lima (AC);628
1200344;Manoel Urbano (AC);311
1200351;Marechal Thaumaturgo (AC);316
1200385;Plácido de Castro (AC);903
1200393;Porto Walter (AC);221
1200401;Rio Branco (AC);14481
1200427;Rodrigues Alves (AC);445
1200435;Santa Rosa do Purus (AC);84
1200450;Senador Guiomard (AC);1119
1200500;Sena Madureira (AC);1726
1200609;Tarauacá (AC);1409
1200708;Xapuri (AC);884
1200807;Porto Acre (AC);804
1300029;Alvarães (AM);455
1300060;Amaturá (AM);332
1300086;Anamã (AM);429
1300102;Anori (AM);704
1300144;Apuí (AM);572
1300201;Atalaia do Norte (AM);440
1300300;Autazes (AM);1594
1300409;Barcelos (AM);1001
1300508;Barreirinha (AM);1337
1300607;Benjamin Constant (AM);1361
1300631;Beruri (AM);637
1300680;Boa Vista do Ramos (AM);608
1300706;Boca do Acre (AM);1526
1300805;Borba (AM);1603
1300839;Caapiranga (AM);405
1300904;Canutama (AM);559
1301001;Carauari (AM);1005
1301100;Careiro (AM);1420
1301159;Careiro da Várzea (AM);1341
1301209;Coari (AM);2772
1301308;Codajás (AM);923
1301407;Eirunepé (AM);1188
1301506;Envira (AM);587
1301605;Fonte Boa (AM);910
1301654;Guajará (AM);445
1301704;Humaitá (AM);1907
1301803;Ipixuna (AM);647
1301852;Iranduba (AM);1970
1301902;Itacoatiara (AM);4369
1301951;Itamarati (AM);212
1302009;Itapiranga (AM);430
1302108;Japurá (AM);194
1302207;Juruá (AM);370
1302306;Jutaí (AM);612
1302405;Lábrea (AM);1596
1302504;Manacapuru (AM);4158
1302553;Manaquiri (AM);1024
1302603;Manaus (AM);70028
1302702;Manicoré (AM);2065
1302801;Maraã (AM);450
1302900;Maués (AM);2462
1303007;Nhamundá (AM);1022
1303106;Nova Olinda do Norte (AM);1365
1303205;Novo Airão (AM);672
1303304;Novo Aripuanã (AM);1011
1303403;Parintins (AM);4996
1303502;Pauini (AM);540
1303536;Presidente Figueiredo (AM);855
1303569;Rio Preto da Eva (AM);904
1303601;Santa Isabel do Rio Negro (AM);724
1303700;Santo Antônio do Içá (AM);760
1303809;São Gabriel da Cachoeira (AM);1739
1303908;São Paulo de Olivença (AM);1229
1303957;São Sebastião do Uatumã (AM);355
1304005;Silves (AM);376
1304062;Tabatinga (AM);1830
1304104;Tapauá (AM);638
1304203;Tefé (AM);2390
1304237;Tonantins (AM);560
1304260;Uarini (AM);352
1304302;Urucará (AM);842
1304401;Urucurituba (AM);870
1400027;Amajari (RR);368
1400050;Alto Alegre (RR);661
1400100;Boa Vista (RR);9378
1400159;Bonfim (RR);459
1400175;Cantá (RR);591
1400209;Caracaraí (RR);698
1400233;Caroebe (RR);319
1400282;Iracema (RR);320
1400308;Mucajaí (RR);672
1400407;Normandia (RR);295
1400456;Pacaraima (RR);313
1400472;Rorainópolis (RR);770
1400506;São João da Baliza (RR);256
1400605;São Luiz (RR);254
1400704;Uiramutã (RR);241
1500107;Abaetetuba (PA);6927
1500131;Abel Figueiredo (PA);360
1500206;Acará (PA);2546
1500305;Afuá (PA);1335
1500347;Água Azul do Norte (PA);695
1500404;Alenquer (PA);3030
1500503;Almeirim (PA);1260
1500602;Altamira (PA);4369
1500701;Anajás (PA);864
1500800;Ananindeua (PA);19161
1500859;Anapu (PA);662
1500909;Augusto Corrêa (PA);1980
1500958;Aurora do Pará (PA);1214
1501006;Aveiro (PA);822
1501105;Bagre (PA);737
1501204;Baião (PA);1619
1501253;Bannach (PA);161
1501303;Barcarena (PA);3501
1501402;Belém (PA);87744
1501451;Belterra (PA);1066
1501501;Benevides (PA);2303
1501576;Bom Jesus do Tocantins (PA);793
1501600;Bonito (PA);621
1501709;Bragança (PA);6117
1501725;Brasil Novo (PA);858
1501758;Brejo Grande do Araguaia (PA);389
1501782;Breu Branco (PA);1962
1501808;Breves (PA);3905
1501907;Bujaru (PA);1306
1501956;Cachoeira do Piriá (PA);691
1502004;Cachoeira do Arari (PA);1219
1502103;Cametá (PA);6398
1502152;Canaã dos Carajás (PA);763
1502202;Capanema (PA);3962
1502301;Capitão Poço (PA);2693
1502400;Castanhal (PA);8339
1502509;Chaves (PA);903
1502608;Colares (PA);830
1502707;Conceição do Araguaia (PA);2989
1502756;Concórdia do Pará (PA);1354
1502764;Cumaru do Norte (PA);252
1502772;Curionópolis (PA);1195
1502806;Curralinho (PA);1085
1502855;Curuá (PA);553
1502905;Curuçá (PA);2524
1502939;Dom Eliseu (PA);1611
1502954;Eldorado do Carajás (PA);1263
1503002;Faro (PA);427
1503044;Floresta do Araguaia (PA);796
1503077;Garrafão do Norte (PA);1172
1503093;Goianésia do Pará (PA);1024
1503101;Gurupá (PA);1189
1503200;Igarapé-Açu (PA);2282
1503309;Igarapé-Miri (PA);3013
1503408;Inhangapi (PA);578
1503457;Ipixuna do Pará (PA);1417
1503507;Irituia (PA);1960
1503606;Itaituba (PA);3902
1503705;Itupiranga (PA);2175
1503754;Jacareacanga (PA);306
1503804;Jacundá (PA);2152
1503903;Juruti (PA);2055
1504000;Limoeiro do Ajuru (PA);1029
1504059;Mãe do Rio (PA);1569
1504109;Magalhães Barata (PA);610
1504208;Marabá (PA);8570
1504307;Maracanã (PA);2070
1504406;Marapanim (PA);2106
1504422;Marituba (PA);3730
1504455;Medicilândia (PA);1058
1504505;Melgaço (PA);648
1504604;Mocajuba (PA);1485
1504703;Moju (PA);2729
1504802;Monte Alegre (PA);3459
1504901;Muaná (PA);1432
1504950;Nova Esperança do Piriá (PA);559
1504976;Nova Ipixuna (PA);727
1505007;Nova Timboteua (PA);1027
1505031;Novo Progresso (PA);571
1505064;Novo Repartimento (PA);2262
1505106;Óbidos (PA);2973
1505205;Oeiras do Pará (PA);1116
1505304;Oriximiná (PA);2961
1505403;Ourém (PA);1014
1505437;Ourilândia do Norte (PA);782
1505486;Pacajá (PA);1636
1505494;Palestina do Pará (PA);442
1505502;Paragominas (PA);2627
1505536;Parauapebas (PA);3216
1505551;Pau D'Arco (PA);353
1505601;Peixe-Boi (PA);583
1505635;Piçarra (PA);520
1505650;Placas (PA);747
1505700;Ponta de Pedras (PA);1278
1505809;Portel (PA);1733
1505908;Porto de Moz (PA);1070
1506005;Prainha (PA);1131
1506104;Primavera (PA);800
1506112;Quatipuru (PA);782
1506138;Redenção (PA);3273
1506161;Rio Maria (PA);957
1506187;Rondon do Pará (PA);2112
1506195;Rurópolis (PA);1508
1506203;Salinópolis (PA);1937
1506302;Salvaterra (PA);1208
1506351;Santa Bárbara do Pará (PA);864
1506401;Santa Cruz do Arari (PA);413
1506500;Santa Izabel do Pará (PA);2831
1506559;Santa Luzia do Pará (PA);1112
1506583;Santa Maria das Barreiras (PA);836
1506609;Santa Maria do Pará (PA);1449
1506708;Santana do Araguaia (PA);1620
1506807;Santarém (PA);15866
1506906;Santarém Novo (PA);376
1507003;Santo Antônio do Tauá (PA);1550
1507102;São Caetano de Odivelas (PA);1133
1507151;São Domingos do Araguaia (PA);1380
1507201;São Domingos do Capim (PA);1434
1507300;São Félix do Xingu (PA);2153
1507409;São Francisco do Pará (PA);1041
1507458;São Geraldo do Araguaia (PA);1386
1507466;São João da Ponta (PA);394
1507474;São João de Pirabas (PA);1448
1507508;São João do Araguaia (PA);660
1507607;São Miguel do Guamá (PA);2729
1507706;São Sebastião da Boa Vista (PA);1089
1507755;Sapucaia (PA);182
1507805;Senador José Porfírio (PA);410
1507904;Soure (PA);1434
