Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Bairro;
1100015001;Centro - Alta Floresta D'Oeste (RO);564
1100015002;Liberdade - Alta Floresta D'Oeste (RO);363
1100015003;Cidade Alta - Alta Floresta D'Oeste (RO);381
1100015004;Santa Felicidade - Alta Floresta D'Oeste (RO);918
1100015005;Princesa Isabel - Alta Floresta D'Oeste (RO);1132
1100015006;Redondo - Alta Floresta D'Oeste (RO);849
1100015007;Tucanos - Alta Floresta D'Oeste (RO);147
1100049001;Centro - Cacoal (RO);808
1100049002;Jardim Clodoaldo - Cacoal (RO);1635
1100049003;Princesa Isabel - Cacoal (RO);1037
1100049004;Liberdade - Cacoal (RO);850
1100049005;Novo Horizonte - Cacoal (RO);918
1100049006;Novo Cacoal - Cacoal (RO);1295
1100049007;Residencial Parque Brizon - Cacoal (RO);738
1100049008;Vilage do Sol - Cacoal (RO);2129
1100049009;Saúde - Cacoal (RO);287
1100049010;Teixeirão - Cacoal (RO);1534
1100049011;Floresta - Cacoal (RO);756
1100049012;INCRA - Cacoal (RO);259
1100049013;Santo Antônio - Cacoal (RO);525
1100049014;Industrial - Cacoal (RO);395
1100049015;Cristal do Arco-Íris - Cacoal (RO);486
1100049016;Parque Industrial Governador Jerônimo Santana - Cacoal (RO);..
1100049017;Jardim Bandeirantes - Cacoal (RO);222
1100049018;Jardim Vista Alegre - Cacoal (RO);2255
1100049019;Conjunto Haley - Cacoal (RO);1010
1100049020;Conjunto Habitacional Nova Esperança - Cacoal (RO);746
1100049021;Sociedade Bela Vista - Cacoal (RO);532
1100064001;Centro - Colorado do Oeste (RO);806
1100064002;Cruzeiro - Colorado do Oeste (RO);790
1100064003;Jorge Teixeira - Colorado do Oeste (RO);248
1100064004;Jo Sato - Colorado do Oeste (RO);277
1100064005;Minas Gerais - Colorado do Oeste (RO);518
1100064006;Santa Luzia - Colorado do Oeste (RO);463
1100064007;Odilon Noia - Colorado do Oeste (RO);190
1100064008;São José - Colorado do Oeste (RO);363
1100064009;Mato Grosso - Colorado do Oeste (RO);499
1100064010;Industrial - Colorado do Oeste (RO);55
1100098001;Centro - Espigão D'Oeste (RO);618
1100098002;São José - Espigão D'Oeste (RO);813
1100098003;Morada do Sol - Espigão D'Oeste (RO);485
1100098004;Caixa D'água - Espigão D'Oeste (RO);729
1100098005;Liberdade - Espigão D'Oeste (RO);483
1100098006;Jorge Teixeira de Oliveira - Espigão D'Oeste (RO);784
1100098007;Vista Alegre - Espigão D'Oeste (RO);978
1100098008;Novo Horizonte - Espigão D'Oeste (RO);258
1100098009;Cidade Alta - Espigão D'Oeste (RO);396
1100106001;Triângulo - Guajará-Mirim (RO);451
1100106002;Centro - Guajará-Mirim (RO);492
1100106003;Cristo Rey - Guajará-Mirim (RO);322
1100106004;Industrial - Guajará-Mirim (RO);...
1100106005;Tamandaré - Guajará-Mirim (RO);1168
1100106006;São José - Guajará-Mirim (RO);628
1100106007;Santa Luzia - Guajará-Mirim (RO);1579
1100106008;Dez de Abril - Guajará-Mirim (RO);724
1100106009;Caetano - Guajará-Mirim (RO);646
1100106010;Liberdade - Guajará-Mirim (RO);890
1100106011;Fátima - Guajará-Mirim (RO);1051
1100106012;Próspero - Guajará-Mirim (RO);1183
1100106013;Jardim Bandeirantes - Guajará-Mirim (RO);...
1100106014;Serraria - Guajará-Mirim (RO);770
1100106015;Santo Antônio - Guajará-Mirim (RO);467
1100106016;Jardim das Esmeraldas - Guajará-Mirim (RO);1820
1100106017;Nossa Senhora Aparecida - Guajará-Mirim (RO);870
1100122001;Santiago - Ji-Paraná (RO);898
1100122002;União - Ji-Paraná (RO);142
1100122003;Centro - Ji-Paraná (RO);504
1100122004;Urupá - Ji-Paraná (RO);1389
1100122005;Dois de Abril - Ji-Paraná (RO);712
1100122006;Casa Preta - Ji-Paraná (RO);1187
1100122007;Dom Bosco - Ji-Paraná (RO);996
1100122008;São Bernardo - Ji-Paraná (RO);457
1100122009;Jardim Presidencial - Ji-Paraná (RO);1848
1100122010;Parque São Pedro - Ji-Paraná (RO);1154
1100122011;Jardim dos Migrantes - Ji-Paraná (RO);1895
1100122012;Nossa Senhora de Fátima - Ji-Paraná (RO);1138
1100122013;Jotão - Ji-Paraná (RO);347
1100122014;Duque de Caxias - Ji-Paraná (RO);334
1100122015;JK - Ji-Paraná (RO);1929
1100122016;Jardim das Seringueiras - Ji-Paraná (RO);519
1100122017;Nova Brasília - Ji-Paraná (RO);4151
1100122018;Conj. Mário Andreazza - Ji-Paraná (RO);557
1100122019;Riachuelo - Ji-Paraná (RO);693
1100122020;Primavera - Ji-Paraná (RO);1575
1100122021;São Pedro - Ji-Paraná (RO);1023
1100122022;Coronel Jorge T. de Oliveira - Ji-Paraná (RO);1169
1100122023;Valparaíso - Ji-Paraná (RO);1906
1100122024;Cafezinho - Ji-Paraná (RO);755
1100122025;Jardim Flórida - Ji-Paraná (RO);15
1100122026;São Francisco - Ji-Paraná (RO);1303
1100122027;Alto Alegre - Ji-Paraná (RO);205
1100155001;União - Ouro Preto do Oeste (RO);480
1100155002;Bela Floresta - Ouro Preto do Oeste (RO);369
1100155003;Jardim Bandeirante - Ouro Preto do Oeste (RO);490
1100155004;Nova Ouro Preto - Ouro Preto do Oeste (RO);1192
1100155005;Jardim Novo Horizonte - Ouro Preto do Oeste (RO);1103
1100155006;Jardim Novo Estado - Ouro Preto do Oeste (RO);886
1100155007;Da Liberdade - Ouro Preto do Oeste (RO);906
1100155008;Alvorada - Ouro Preto do Oeste (RO);296
1100155009;Industrial - Ouro Preto do Oeste (RO);478
1100155010;Jardim Tropical - Ouro Preto do Oeste (RO);253
1100155011;Do Incra - Ouro Preto do Oeste (RO);232
1100155012;Jardim Aeroporto - Ouro Preto do Oeste (RO);1801
1100205002;Juscelino Kubitschek - Porto Velho (RO);3470
1100205003;Flodoaldo Pontes Pinto - Porto Velho (RO);2849
1100205004;Tiradentes - Porto Velho (RO);1209
1100205005;Industrial - Porto Velho (RO);423
1100205006;Nova Porto Velho - Porto Velho (RO);2940
1100205007;Roque - Porto Velho (RO);846
1100205008;Liberdade - Porto Velho (RO);980
1100205009;São João Bosco - Porto Velho (RO);1364
1100205010;São Cristóvão - Porto Velho (RO);899
