Tabela 1552 - População residente, por situação do domicílio e sexo, segundo a forma de declaração da idade e a idade;;
Variável - População residente (Pessoas);;
Forma de declaração da idade - Total;;
Idade - Soma (0 a 4 anos + 5 a 9 anos + 10 a 14 anos + 15 anos + 16 anos + 17 anos + 18 anos);;
Ano - 2010;;
Situação do domicílio - Total;;
Sexo - Total;;
Cód.;Município;
1100015;Alta Floresta D'Oeste (RO);8509
1100023;Ariquemes (RO);32090
1100031;Cabixi (RO);2102
1100049;Cacoal (RO);25894
1100056;Cerejeiras (RO);5631
1100064;Colorado do Oeste (RO);5908
1100072;Corumbiara (RO);3061
1100080;Costa Marques (RO);5774
1100098;Espigão D'Oeste (RO);9892
1100106;Guajará-Mirim (RO);16717
1100114;Jaru (RO);17910
1100122;Ji-Paraná (RO);38905
1100130;Machadinho D'Oeste (RO);12001
1100148;Nova Brasilândia D'Oeste (RO);7037
1100155;Ouro Preto do Oeste (RO);12715
1100189;Pimenta Bueno (RO);11499
1100205;Porto Velho (RO);147324
1100254;Presidente Médici (RO);7370
1100262;Rio Crespo (RO);1172
1100288;Rolim de Moura (RO);16869
1100296;Santa Luzia D'Oeste (RO);2922
1100304;Vilhena (RO);25952
1100320;São Miguel do Guaporé (RO);8216
1100338;Nova Mamoré (RO);9115
1100346;Alvorada D'Oeste (RO);5954
1100379;Alto Alegre dos Parecis (RO);4929
1100403;Alto Paraíso (RO);6502
1100452;Buritis (RO);12474
1100502;Novo Horizonte do Oeste (RO);3542
1100601;Cacaulândia (RO);2130
1100700;Campo Novo de Rondônia (RO);5000
1100809;Candeias do Jamari (RO);7843
1100908;Castanheiras (RO);1219
1100924;Chupinguaia (RO);3188
1100940;Cujubim (RO);6444
1101005;Governador Jorge Teixeira (RO);3854
1101104;Itapuã do Oeste (RO);3419
1101203;Ministro Andreazza (RO);3872
1101302;Mirante da Serra (RO);4344
1101401;Monte Negro (RO);5397
1101435;Nova União (RO);2826
1101450;Parecis (RO);1822
1101468;Pimenteiras do Oeste (RO);898
1101476;Primavera de Rondônia (RO);1224
1101484;São Felipe D'Oeste (RO);1954
1101492;São Francisco do Guaporé (RO);6248
1101500;Seringueiras (RO);4485
1101559;Teixeirópolis (RO);1666
1101609;Theobroma (RO);3916
1101708;Urupá (RO);4542
1101757;Vale do Anari (RO);3529
1101807;Vale do Paraíso (RO);2892
1200013;Acrelândia (AC);5389
1200054;Assis Brasil (AC);2725
1200104;Brasiléia (AC);8695
1200138;Bujari (AC);3615
1200179;Capixaba (AC);3961
1200203;Cruzeiro do Sul (AC);35189
1200252;Epitaciolândia (AC);6096
1200302;Feijó (AC);16333
1200328;Jordão (AC);3839
1200336;Mâncio Lima (AC);7281
1200344;Manoel Urbano (AC);3926
1200351;Marechal Thaumaturgo (AC);8148
1200385;Plácido de Castro (AC);7458
