"Tabela 2009 - Domicílios particulares permanentes e Moradores em Domicílios particulares permanentes por situação do domicílio e número de dormitórios"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Número de dormitórios","Ano x Situação do domicílio"
"Cód.","Município","Número de dormitórios","2010"
"Cód.","Município","Número de dormitórios","Total"
"1100015","Alta Floresta D'Oeste (RO)","Total","7274"
"1100015","Alta Floresta D'Oeste (RO)","1 dormitório","1617"
"1100015","Alta Floresta D'Oeste (RO)","2 dormitórios","3408"
"1100015","Alta Floresta D'Oeste (RO)","3 dormitórios","1959"
"1100015","Alta Floresta D'Oeste (RO)","4 dormitórios","259"
"1100015","Alta Floresta D'Oeste (RO)","5 dormitórios","31"
"1100015","Alta Floresta D'Oeste (RO)","6 dormitórios ou mais","-"
"1100023","Ariquemes (RO)","Total","27190"
"1100023","Ariquemes (RO)","1 dormitório","7752"
"1100023","Ariquemes (RO)","2 dormitórios","12683"
"1100023","Ariquemes (RO)","3 dormitórios","5941"
"1100023","Ariquemes (RO)","4 dormitórios","712"
"1100023","Ariquemes (RO)","5 dormitórios","103"
"1100023","Ariquemes (RO)","6 dormitórios ou mais","-"
"1100031","Cabixi (RO)","Total","1974"
"1100031","Cabixi (RO)","1 dormitório","464"
"1100031","Cabixi (RO)","2 dormitórios","898"
"1100031","Cabixi (RO)","3 dormitórios","538"
"1100031","Cabixi (RO)","4 dormitórios","70"
"1100031","Cabixi (RO)","5 dormitórios","3"
"1100031","Cabixi (RO)","6 dormitórios ou mais","-"
"1100049","Cacoal (RO)","Total","24196"
"1100049","Cacoal (RO)","1 dormitório","5796"
"1100049","Cacoal (RO)","2 dormitórios","11475"
"1100049","Cacoal (RO)","3 dormitórios","5999"
"1100049","Cacoal (RO)","4 dormitórios","831"
"1100049","Cacoal (RO)","5 dormitórios","72"
"1100049","Cacoal (RO)","6 dormitórios ou mais","24"
"1100056","Cerejeiras (RO)","Total","5341"
"1100056","Cerejeiras (RO)","1 dormitório","1117"
"1100056","Cerejeiras (RO)","2 dormitórios","2530"
"1100056","Cerejeiras (RO)","3 dormitórios","1449"
"1100056","Cerejeiras (RO)","4 dormitórios","244"
"1100056","Cerejeiras (RO)","5 dormitórios","2"
"1100056","Cerejeiras (RO)","6 dormitórios ou mais","-"
"1100064","Colorado do Oeste (RO)","Total","5962"
"1100064","Colorado do Oeste (RO)","1 dormitório","1369"
"1100064","Colorado do Oeste (RO)","2 dormitórios","2671"
"1100064","Colorado do Oeste (RO)","3 dormitórios","1598"
"1100064","Colorado do Oeste (RO)","4 dormitórios","291"
"1100064","Colorado do Oeste (RO)","5 dormitórios","32"
"1100064","Colorado do Oeste (RO)","6 dormitórios ou mais","-"
"1100072","Corumbiara (RO)","Total","2650"
"1100072","Corumbiara (RO)","1 dormitório","502"
"1100072","Corumbiara (RO)","2 dormitórios","1192"
"1100072","Corumbiara (RO)","3 dormitórios","771"
"1100072","Corumbiara (RO)","4 dormitórios","163"
"1100072","Corumbiara (RO)","5 dormitórios","16"
"1100072","Corumbiara (RO)","6 dormitórios ou mais","7"
"1100080","Costa Marques (RO)","Total","3714"
"1100080","Costa Marques (RO)","1 dormitório","1048"
"1100080","Costa Marques (RO)","2 dormitórios","1755"
"1100080","Costa Marques (RO)","3 dormitórios","765"
"1100080","Costa Marques (RO)","4 dormitórios","124"
"1100080","Costa Marques (RO)","5 dormitórios","21"
"1100080","Costa Marques (RO)","6 dormitórios ou mais","-"
"1100098","Espigão D'Oeste (RO)","Total","8668"
"1100098","Espigão D'Oeste (RO)","1 dormitório","1972"
"1100098","Espigão D'Oeste (RO)","2 dormitórios","4083"
"1100098","Espigão D'Oeste (RO)","3 dormitórios","2367"
"1100098","Espigão D'Oeste (RO)","4 dormitórios","246"
"1100098","Espigão D'Oeste (RO)","5 dormitórios","-"
"1100098","Espigão D'Oeste (RO)","6 dormitórios ou mais","-"
"1100106","Guajará-Mirim (RO)","Total","10663"
"1100106","Guajará-Mirim (RO)","1 dormitório","3668"
"1100106","Guajará-Mirim (RO)","2 dormitórios","4465"
"1100106","Guajará-Mirim (RO)","3 dormitórios","2090"
"1100106","Guajará-Mirim (RO)","4 dormitórios","364"
"1100106","Guajará-Mirim (RO)","5 dormitórios","67"
"1100106","Guajará-Mirim (RO)","6 dormitórios ou mais","9"
"1100114","Jaru (RO)","Total","15898"
"1100114","Jaru (RO)","1 dormitório","3771"
"1100114","Jaru (RO)","2 dormitórios","7416"
"1100114","Jaru (RO)","3 dormitórios","3993"
"1100114","Jaru (RO)","4 dormitórios","635"
"1100114","Jaru (RO)","5 dormitórios","84"
"1100114","Jaru (RO)","6 dormitórios ou mais","-"
"1100122","Ji-Paraná (RO)","Total","35612"
"1100122","Ji-Paraná (RO)","1 dormitório","9189"
"1100122","Ji-Paraná (RO)","2 dormitórios","17180"
"1100122","Ji-Paraná (RO)","3 dormitórios","7948"
"1100122","Ji-Paraná (RO)","4 dormitórios","1167"
"1100122","Ji-Paraná (RO)","5 dormitórios","87"
"1100122","Ji-Paraná (RO)","6 dormitórios ou mais","40"
"1100130","Machadinho D'Oeste (RO)","Total","9170"
"1100130","Machadinho D'Oeste (RO)","1 dormitório","2575"
"1100130","Machadinho D'Oeste (RO)","2 dormitórios","4451"
"1100130","Machadinho D'Oeste (RO)","3 dormitórios","1783"
"1100130","Machadinho D'Oeste (RO)","4 dormitórios","315"
"1100130","Machadinho D'Oeste (RO)","5 dormitórios","46"
"1100130","Machadinho D'Oeste (RO)","6 dormitórios ou mais","-"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","5886"
"1100148","Nova Brasilândia D'Oeste (RO)","1 dormitório","1207"
"1100148","Nova Brasilândia D'Oeste (RO)","2 dormitórios","2889"
"1100148","Nova Brasilândia D'Oeste (RO)","3 dormitórios","1544"
"1100148","Nova Brasilândia D'Oeste (RO)","4 dormitórios","231"
"1100148","Nova Brasilândia D'Oeste (RO)","5 dormitórios","15"
"1100148","Nova Brasilândia D'Oeste (RO)","6 dormitórios ou mais","-"
"1100155","Ouro Preto do Oeste (RO)","Total","11650"
"1100155","Ouro Preto do Oeste (RO)","1 dormitório","2592"
"1100155","Ouro Preto do Oeste (RO)","2 dormitórios","5418"
"1100155","Ouro Preto do Oeste (RO)","3 dormitórios","3057"
"1100155","Ouro Preto do Oeste (RO)","4 dormitórios","507"
"1100155","Ouro Preto do Oeste (RO)","5 dormitórios","68"
"1100155","Ouro Preto do Oeste (RO)","6 dormitórios ou mais","8"
"1100189","Pimenta Bueno (RO)","Total","10047"
"1100189","Pimenta Bueno (RO)","1 dormitório","2121"
"1100189","Pimenta Bueno (RO)","2 dormitórios","5026"
"1100189","Pimenta Bueno (RO)","3 dormitórios","2518"
"1100189","Pimenta Bueno (RO)","4 dormitórios","332"
"1100189","Pimenta Bueno (RO)","5 dormitórios","32"
"1100189","Pimenta Bueno (RO)","6 dormitórios ou mais","18"
"1100205","Porto Velho (RO)","Total","119578"
