"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2010"
"Cód.","Município","Total","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1100015","Alta Floresta D'Oeste (RO)","9967","2408","500","2415","264","713","266","3401"
"1100023","Ariquemes (RO)","42986","17256","2572","8737","627","1201","953","11640"
"1100031","Cabixi (RO)","2786","622","201","662","84","289","17","911"
"1100049","Cacoal (RO)","37566","14364","2712","7482","747","2390","746","9124"
"1100056","Cerejeiras (RO)","8202","1931","751","2120","306","616","182","2297"
"1100064","Colorado do Oeste (RO)","8251","2398","744","1974","140","772","120","2102"
"1100072","Corumbiara (RO)","4091","1018","160","881","48","561","8","1416"
"1100080","Costa Marques (RO)","5971","1180","359","1707","45","465","43","2173"
"1100098","Espigão D'Oeste (RO)","14366","4053","874","3619","645","1198","143","3833"
"1100106","Guajará-Mirim (RO)","15698","5060","1985","3757","207","521","68","4100"
"1100114","Jaru (RO)","23383","7537","1696","4503","1051","951","327","7319"
"1100122","Ji-Paraná (RO)","56574","25081","3823","10610","2154","1347","1284","12276"
"1100130","Machadinho D'Oeste (RO)","14379","2628","663","3263","259","2405","118","5043"
"1100148","Nova Brasilândia D'Oeste (RO)","9786","1608","480","1501","316","1071","211","4600"
"1100155","Ouro Preto do Oeste (RO)","17697","5318","1034","4718","549","1003","302","4773"
"1100189","Pimenta Bueno (RO)","17182","8743","997","2807","276","466","418","3474"
"1100205","Porto Velho (RO)","202401","98823","21484","30549","2575","2904","2378","43688"
"1100254","Presidente Médici (RO)","10927","2411","799","2140","342","1045","252","3937"
"1100262","Rio Crespo (RO)","1262","289","176","346","86","75","7","283"
"1100288","Rolim de Moura (RO)","23585","8870","1930","5570","374","1069","703","5069"
"1100296","Santa Luzia D'Oeste (RO)","4155","1094","205","827","191","534","45","1260"
"1100304","Vilhena (RO)","38037","17188","2884","7398","646","846","1336","7739"
"1100320","São Miguel do Guaporé (RO)","9855","2357","336","1746","302","2193","87","2834"
"1100338","Nova Mamoré (RO)","10017","2031","311","1877","455","1102","22","4219"
"1100346","Alvorada D'Oeste (RO)","7179","1625","737","1744","430","523","148","1972"
"1100379","Alto Alegre dos Parecis (RO)","5816","899","164","1115","625","773","43","2197"
"1100403","Alto Paraíso (RO)","8779","1569","91","1773","284","735","41","4287"
"1100452","Buritis (RO)","16005","2790","982","4592","686","1642","166","5148"
"1100502","Novo Horizonte do Oeste (RO)","4557","852","36","693","154","1410","14","1397"
"1100601","Cacaulândia (RO)","2867","349","183","720","231","290","49","1046"
"1100700","Campo Novo de Rondônia (RO)","5510","417","412","1522","606","267","45","2241"
"1100809","Candeias do Jamari (RO)","8380","3301","488","1942","72","769","67","1742"
"1100908","Castanheiras (RO)","1715","214","294","274","148","294","5","486"
"1100924","Chupinguaia (RO)","4267","1787","164","1027","83","301","30","876"
"1100940","Cujubim (RO)","7062","1570","387","1923","141","565","125","2352"
"1101005","Governador Jorge Teixeira (RO)","4515","509","200","800","364","752","-","1890"
"1101104","Itapuã do Oeste (RO)","4024","893","385","836","143","581","67","1117"
"1101203","Ministro Andreazza (RO)","4538","614","290","760","422","695","48","1709"
"1101302","Mirante da Serra (RO)","5477","793","418","1444","114","972","86","1650"
"1101401","Monte Negro (RO)","6671","1259","489","1356","445","646","42","2435"
"1101435","Nova União (RO)","3905","306","179","833","746","540","11","1291"
"1101450","Parecis (RO)","2013","456","143","387","118","481","44","384"
"1101468","Pimenteiras do Oeste (RO)","1011","148","183","246","43","95","7","287"
"1101476","Primavera de Rondônia (RO)","1382","256","142","275","52","127","4","527"
"1101484","São Felipe D'Oeste (RO)","2674","486","258","361","86","428","16","1040"
"1101492","São Francisco do Guaporé (RO)","7784","1197","399","1826","447","1045","86","2785"
"1101500","Seringueiras (RO)","5942","887","93","949","768","886","8","2350"
"1101559","Teixeirópolis (RO)","2453","287","251","481","129","410","18","877"
"1101609","Theobroma (RO)","5119","466","454","743","313","1309","19","1815"
"1101708","Urupá (RO)","6091","734","247","1318","434","1568","67","1721"
"1101757","Vale do Anari (RO)","4347","415","367","764","458","626","78","1641"
"1101807","Vale do Paraíso (RO)","3014","320","361","736","110","333","6","1147"
"1200013","Acrelândia (AC)","4603","1217","50","1147","63","777","161","1189"
"1200054","Assis Brasil (AC)","1991","451","69","712","80","322","13","344"
"1200104","Brasiléia (AC)","8037","1862","219","2283","333","1032","24","2285"
"1200138","Bujari (AC)","3231","832","107","849","47","713","7","676"
"1200179","Capixaba (AC)","3871","915","15","812","444","673","2","1010"
"1200203","Cruzeiro do Sul (AC)","27907","8515","1943","7853","456","2891","207","6042"
"1200252","Epitaciolândia (AC)","6116","1545","142","1807","119","431","44","2028"
"1200302","Feijó (AC)","10403","1887","316","2538","1069","2576","20","1997"
"1200328","Jordão (AC)","1669","380","66","460","119","395","10","239"
"1200336","Mâncio Lima (AC)","4848","871","317","1234","208","892","35","1289"
"1200344","Manoel Urbano (AC)","2905","657","222","830","6","665","12","514"
"1200351","Marechal Thaumaturgo (AC)","5007","612","14","1262","293","1732","5","1090"
"1200385","Plácido de Castro (AC)","5449","1853","93","1565","99","730","76","1034"
"1200393","Porto Walter (AC)","3394","424","31","598","385","1137","9","810"
"1200401","Rio Branco (AC)","139495","65990","9733","30538","2094","2231","1796","27113"
"1200427","Rodrigues Alves (AC)","4451","639","48","813","435","1035","4","1477"
"1200435","Santa Rosa do Purus (AC)","1198","272","82","330","14","374","13","113"
"1200450","Senador Guiomard (AC)","7703","2960","241","2340","135","381","63","1584"
"1200500","Sena Madureira (AC)","14449","4017","282","4099","586","1286","44","4134"
"1200609","Tarauacá (AC)","11527","2699","124","3666","569","2645","107","1717"
"1200708","Xapuri (AC)","6574","1628","228","1752","208","1075","75","1607"
