"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5000856001","Jardim das Flores - Angélica (MS)","Total","Total","256","39","68","66","57","16","6","3","-","-","-","1","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","Total","15","5","3","1","4","1","1","-","-","-","-","-","-","-","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","Total","95","15","31","25","16","3","4","1","-","-","-","-","-","-","-"
"5000856004","Alvorada - Angélica (MS)","Total","Total","120","16","38","32","24","6","3","-","-","1","-","-","-","-","-"
"5000856005","Imperial - Angélica (MS)","Total","Total","116","15","35","37","19","7","2","1","-","-","-","-","-","-","-"
"5000856006","Jardim Ouro Verde - Angélica (MS)","Total","Total","20","-","5","3","7","3","-","2","-","-","-","-","-","-","-"
"5000856007","Esplanada - Angélica (MS)","Total","Total","114","11","27","37","25","12","2","-","-","-","-","-","-","-","-"
"5000856008","Antonio Mota Ramos - Angélica (MS)","Total","Total","134","10","29","38","30","18","3","3","1","1","1","-","-","-","-"
"5000856009","Cerejo - Angélica (MS)","Total","Total","13","2","2","4","2","1","1","-","-","1","-","-","-","-","-"
"5000856010","Mutum - Angélica (MS)","Total","Total","188","27","43","46","39","21","3","4","3","2","-","-","-","-","-"
"5000856011","Das Nações - Angélica (MS)","Total","Total","152","19","43","36","27","21","3","2","1","-","-","-","-","-","-"
"5000856012","Santa Clara - Angélica (MS)","Total","Total","101","12","24","23","29","7","4","1","1","-","-","-","-","-","-"
"5000856013","Dos Estados - Angélica (MS)","Total","Total","102","12","18","34","16","16","3","3","-","-","-","-","-","-","-"
"5000856014","Esperança - Angélica (MS)","Total","Total","229","26","54","71","50","20","6","-","1","1","-","-","-","-","-"
"5000906001","Centro - Antônio João (MS)","Total","Total","713","98","176","204","146","60","22","3","4","-","-","-","-","-","-"
"5000906002","Vila Penzo - Antônio João (MS)","Total","Total","522","76","99","130","98","67","24","16","8","3","1","-","-","-","-"
"5000906003","Vila Nova - Antônio João (MS)","Total","Total","459","69","109","99","93","51","16","12","3","3","2","2","-","-","-"
"5000906004","Vila Arabela Freire - Antônio João (MS)","Total","Total","94","20","12","18","19","11","4","7","3","-","-","-","-","-","-"
"5000906005","Vila Guarany - Antônio João (MS)","Total","Total","36","6","8","12","5","2","2","-","1","-","-","-","-","-","-"
"5002001001","Centro - Batayporã (MS)","Total","Total","999","160","256","243","195","97","35","9","2","2","-","-","-","-","-"
"5002001002","Vila Nova Era - Batayporã (MS)","Total","Total","67","7","21","15","13","8","2","1","-","-","-","-","-","-","-"
"5002001003","Vila Antonia Nantes - Batayporã (MS)","Total","Total","220","28","46","66","55","19","6","-","-","-","-","-","-","-","-"
"5002001004","Vila Nídio Boffo - Batayporã (MS)","Total","Total","245","30","54","55","55","37","8","5","-","1","-","-","-","-","-"
