"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2106607001","Centro - Matões (MA)","Total","Total","541","40","101","123","116","72","43","21","12","7","4","2","-","-","-"
"2106607002","Bela Vista - Matões (MA)","Total","Total","208","12","29","43","34","32","23","14","7","4","3","5","1","1","-"
"2106607003","Alto da Seriema - Matões (MA)","Total","Total","421","31","68","80","81","67","56","21","10","2","4","1","-","-","-"
"2106607004","Lagoa - Matões (MA)","Total","Total","256","16","51","64","44","43","12","10","8","3","3","-","-","-","2"
"2106607005","Oiteiro da Cruz - Matões (MA)","Total","Total","171","10","26","33","38","29","15","7","8","2","1","1","-","-","1"
"2106607006","Taioba - Matões (MA)","Total","Total","436","35","61","85","78","84","47","16","10","10","5","2","-","3","-"
"2106607007","Matadouro - Matões (MA)","Total","Total","440","33","64","91","94","55","47","17","19","10","6","3","-","-","1"
"2106607008","Rubelândia - Matões (MA)","Total","Total","329","19","47","73","57","66","30","14","8","9","4","1","1","-","-"
"2106607009","Antônio Alves - Matões (MA)","Total","Total","58","1","9","12","15","7","11","-","1","1","-","1","-","-","-"
"2106607010","Mangueira - Matões (MA)","Total","Total","264","17","38","38","55","44","29","20","13","6","2","2","-","-","-"
"2106607011","Alto Alegre - Matões (MA)","Total","Total","196","22","26","36","42","27","21","12","6","2","1","-","-","1","-"
"2112209001","Centro - Timon (MA)","Total","Total","1180","101","183","237","271","197","97","45","21","13","9","3","1","-","2"
"2112209002","Mangueira - Timon (MA)","Total","Total","684","56","116","151","171","86","50","21","19","5","4","1","1","-","3"
"2112209003","Santo Antônio - Timon (MA)","Total","Total","975","75","172","223","233","144","68","39","9","6","2","1","2","-","1"
"2112209004","Formosa - Timon (MA)","Total","Total","523","45","92","113","137","75","30","15","5","4","5","1","-","-","1"
"2112209005","Planalto Formosa - Timon (MA)","Total","Total","491","33","80","120","127","66","31","11","16","6","-","-","-","1","-"
"2112209006","Parque Aliança - Timon (MA)","Total","Total","572","51","81","118","134","98","38","24","14","4","5","2","1","2","-"
"2112209007","Mateuzinho - Timon (MA)","Total","Total","411","26","66","93","107","70","29","12","3","2","2","1","-","-","-"
"2112209008","Cajueiro - Timon (MA)","Total","Total","161","14","25","47","35","25","6","4","3","2","-","-","-","-","-"
"2112209009","Parque Alvorada - Timon (MA)","Total","Total","2892","209","445","663","666","509","195","95","53","20","14","10","5","5","3"
"2112209010","Sete Estrelas - Timon (MA)","Total","Total","563","44","72","127","144","79","47","25","12","5","2","3","1","2","-"
"2112209011","Glória - Timon (MA)","Total","Total","455","48","74","103","94","80","35","9","4","3","3","1","-","1","-"
"2112209012","Planalto Boa Esperança - Timon (MA)","Total","Total","88","12","9","16","27","12","7","4","1","-","-","-","-","-","-"
"2112209013","Jóia - Timon (MA)","Total","Total","507","35","80","105","123","66","48","18","19","3","3","3","1","-","3"
