"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","Total","646","107","152","163","130","60","19","12","2","1","-","-","-","-","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","Total","353","52","84","94","81","23","12","4","3","-","-","-","-","-","-"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","Total","Total","382","57","92","85","91","38","15","3","-","1","-","-","-","-","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","Total","841","84","187","221","202","92","30","17","5","1","1","-","-","1","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","Total","924","112","202","219","200","118","41","17","4","7","3","1","-","-","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","Total","768","85","174","191","187","88","26","14","1","1","-","1","-","-","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","Total","130","11","37","37","22","13","6","3","1","-","-","-","-","-","-"
"1100049001","Centro - Cacoal (RO)","Total","Total","1156","218","289","284","243","84","21","11","4","1","1","-","-","-","-"
"1100049002","Jardim Clodoaldo - Cacoal (RO)","Total","Total","1886","306","456","460","400","177","60","14","7","5","1","-","-","-","-"
"1100049003","Princesa Isabel - Cacoal (RO)","Total","Total","1277","210","286","336","279","117","31","10","5","2","1","-","-","-","-"
"1100049004","Liberdade - Cacoal (RO)","Total","Total","880","112","197","235","201","85","31","10","3","6","-","-","-","-","-"
"1100049005","Novo Horizonte - Cacoal (RO)","Total","Total","1003","124","246","241","222","110","37","13","4","4","2","-","-","-","-"
"1100049006","Novo Cacoal - Cacoal (RO)","Total","Total","1387","201","336","328","323","142","32","16","6","1","1","1","-","-","-"
"1100049007","Residencial Parque Brizon - Cacoal (RO)","Total","Total","724","67","144","224","168","79","28","11","1","-","1","1","-","-","-"
"1100049008","Vilage do Sol - Cacoal (RO)","Total","Total","1830","176","406","512","428","197","60","31","10","7","3","-","-","-","-"
"1100049009","Saúde - Cacoal (RO)","Total","Total","267","30","63","74","61","29","6","2","2","-","-","-","-","-","-"
"1100049010","Teixeirão - Cacoal (RO)","Total","Total","1434","144","342","390","320","153","54","21","6","3","1","-","-","-","-"
"1100049011","Floresta - Cacoal (RO)","Total","Total","822","79","212","211","201","80","24","9","3","1","-","-","1","-","1"
"1100049012","INCRA - Cacoal (RO)","Total","Total","292","28","73","81","69","26","5","6","2","1","-","1","-","-","-"
"1100049013","Santo Antônio - Cacoal (RO)","Total","Total","439","41","90","139","96","42","20","8","1","-","1","1","-","-","-"
"1100049014","Industrial - Cacoal (RO)","Total","Total","349","37","82","75","87","39","22","5","1","-","-","-","-","1","-"
"1100049015","Cristal do Arco-Íris - Cacoal (RO)","Total","Total","440","42","86","125","111","57","9","6","2","1","-","1","-","-","-"
