"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"3100203001","São Pedro - Abaeté (MG)","Total","Total","1082","186","242","278","202","113","33","18","4","3","3","-","-","-","-"
"3100203002","São João - Abaeté (MG)","Total","Total","865","141","184","225","193","69","32","10","8","2","-","-","-","1","-"
"3100203003","Marmelada - Abaeté (MG)","Total","Total","81","17","20","24","17","2","1","-","-","-","-","-","-","-","-"
"3100203004","Santa Terezinha - Abaeté (MG)","Total","Total","107","17","27","31","20","8","3","-","1","-","-","-","-","-","-"
"3100203005","Pau-D'Óleo - Abaeté (MG)","Total","Total","182","34","39","54","37","11","3","3","1","-","-","-","-","-","-"
"3100203006","Fátima - Abaeté (MG)","Total","Total","115","28","27","40","10","8","2","-","-","-","-","-","-","-","-"
"3100203007","Amazonas - Abaeté (MG)","Total","Total","404","64","95","104","82","44","13","2","-","-","-","-","-","-","-"
"3100203008","Buracão - Abaeté (MG)","Total","Total","270","38","62","62","70","21","12","4","1","-","-","-","-","-","-"
"3100203009","Olhos D'Água - Abaeté (MG)","Total","Total","557","104","139","124","117","46","18","5","2","-","1","1","-","-","-"
"3100203010","Abaetezinho - Abaeté (MG)","Total","Total","808","128","198","221","175","54","20","8","3","-","1","-","-","-","-"
"3100203011","Chacrinha - Abaeté (MG)","Total","Total","439","89","121","98","82","32","10","6","1","-","-","-","-","-","-"
"3100203012","Esplanada - Abaeté (MG)","Total","Total","590","65","157","157","154","42","10","4","-","-","1","-","-","-","-"
"3100203013","Zona Central - Abaeté (MG)","Total","Total","785","173","230","178","144","40","15","3","2","-","-","-","-","-","-"
"3100203014","Sem Denominação - Abaeté (MG)","Total","Total","18","2","8","5","1","1","1","-","-","-","-","-","-","-","-"
"3104007001","Centro - Araxá (MG)","Total","Total","3786","725","1088","886","673","269","91","41","9","-","4","-","-","-","-"
"3104007002","São Pedro - Araxá (MG)","Total","Total","300","59","72","71","55","25","14","3","-","1","-","-","-","-","-"
"3104007003","Vila Rica - Araxá (MG)","Total","Total","269","33","75","72","53","22","12","1","1","-","-","-","-","-","-"
"3104007004","Guimarães - Araxá (MG)","Total","Total","219","35","58","66","33","17","5","2","2","-","1","-","-","-","-"
"3104007005","Dr. Pedro Pezzuti - Araxá (MG)","Total","Total","503","77","130","130","103","41","13","5","3","-","1","-","-","-","-"
"3104007006","São Vicente - Araxá (MG)","Total","Total","183","28","56","35","42","14","6","-","1","1","-","-","-","-","-"
"3104007007","Santa Terezinha - Araxá (MG)","Total","Total","657","103","167","154","129","52","35","10","4","2","-","-","-","1","-"
"3104007008","Sagrada Família - Araxá (MG)","Total","Total","207","29","65","50","37","21","4","-","1","-","-","-","-","-","-"
"3104007009","Leda Barcelos - Araxá (MG)","Total","Total","166","14","44","48","40","14","4","1","-","1","-","-","-","-","-"
