"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","1 morador","2 moradores","3 moradores","4 moradores","5 moradores","6 moradores","7 moradores","8 moradores","9 moradores","10 moradores","11 moradores","12 moradores","13 moradores","14 moradores ou mais"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4101002001","Centro - Ampére (PR)","Total","Total","674","83","186","179","149","56","14","5","1","1","-","-","-","-","-"
"4101002002","Nossa Senhora das Graças - Ampére (PR)","Total","Total","585","53","158","184","126","43","16","3","2","-","-","-","-","-","-"
"4101002003","São Francisco - Ampére (PR)","Total","Total","673","69","178","184","141","61","30","7","3","-","-","-","-","-","-"
"4101002004","Santa Mônica - Ampére (PR)","Total","Total","682","66","151","202","166","60","25","3","7","1","1","-","-","-","-"
"4101002005","Rondinha - Ampére (PR)","Total","Total","213","28","60","56","47","13","5","4","-","-","-","-","-","-","-"
"4101002006","Industrial I - Ampére (PR)","Total","Total","7","-","1","5","1","-","-","-","-","-","-","-","-","-","-"
"4101002007","Colina Verde - Ampére (PR)","Total","Total","68","8","21","19","12","6","-","1","1","-","-","-","-","-","-"
"4101002008","Floresta - Ampére (PR)","Total","Total","97","16","23","23","13","13","4","3","1","1","-","-","-","-","-"
"4101002009","Esperança - Ampére (PR)","Total","Total","157","20","18","35","32","22","14","10","2","-","3","-","-","1","-"
"4101002010","Industrial II - Ampére (PR)","Total","Total","17","-","9","2","5","1","-","-","-","-","-","-","-","-","-"
"4101804001","São Miguel - Araucária (PR)","Total","Total","118","15","27","33","26","12","1","3","1","-","-","-","-","-","-"
"4101804002","Bariguí - Araucária (PR)","Total","Total","306","17","67","112","67","28","8","6","-","-","-","-","-","-","1"
"4101804003","Thomaz Coelho - Araucária (PR)","Total","Total","1405","141","326","401","300","136","64","19","12","2","1","3","-","-","-"
"4101804004","Capela Velha - Araucária (PR)","Total","Total","7388","579","1484","2132","1762","873","325","140","58","23","5","2","3","1","1"
"4101804005","Chapada - Araucária (PR)","Total","Total","181","30","45","47","25","15","12","7","-","-","-","-","-","-","-"
"4101804006","Passaúna - Araucária (PR)","Total","Total","1117","95","239","321","239","139","53","20","6","3","1","1","-","-","-"
"4101804007","Boqueirão - Araucária (PR)","Total","Total","1016","83","207","293","224","115","46","23","11","9","3","-","1","-","1"
"4101804008","Fazenda Velha - Araucária (PR)","Total","Total","2228","218","506","634","536","211","79","29","11","1","1","-","1","1","-"
"4101804009","Estação - Araucária (PR)","Total","Total","1673","144","372","479","404","166","72","26","2","4","1","-","2","1","-"
"4101804010","Sabiá - Araucária (PR)","Total","Total","368","39","92","111","81","32","12","1","-","-","-","-","-","-","-"
"4101804011","Tindiquera - Araucária (PR)","Total","Total","923","83","194","263","210","102","41","14","9","4","3","-","-","-","-"
"4101804012","Porto das Laranjeiras - Araucária (PR)","Total","Total","891","65","177","263","224","103","35","12","7","2","3","-","-","-","-"
"4101804013","Vila Nova - Araucária (PR)","Total","Total","263","18","55","67","75","32","12","2","1","1","-","-","-","-","-"
