"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Bairro","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","Total","646","644","-","2","-","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","Total","353","352","-","1","-","-"
"1100015003","Cidade Alta - Alta Floresta D'Oeste (RO)","Total","Total","382","380","2","-","-","-"
"1100015004","Santa Felicidade - Alta Floresta D'Oeste (RO)","Total","Total","841","840","1","-","-","-"
"1100015005","Princesa Isabel - Alta Floresta D'Oeste (RO)","Total","Total","924","923","-","1","-","-"
"1100015006","Redondo - Alta Floresta D'Oeste (RO)","Total","Total","768","757","-","11","-","-"
"1100015007","Tucanos - Alta Floresta D'Oeste (RO)","Total","Total","130","130","-","-","-","-"
"1100049001","Centro - Cacoal (RO)","Total","Total","1156","797","-","357","2","-"
"1100049002","Jardim Clodoaldo - Cacoal (RO)","Total","Total","1886","1725","2","148","11","-"
"1100049003","Princesa Isabel - Cacoal (RO)","Total","Total","1277","1122","-","153","2","-"
"1100049004","Liberdade - Cacoal (RO)","Total","Total","880","830","2","48","-","-"
"1100049005","Novo Horizonte - Cacoal (RO)","Total","Total","1003","928","-","75","-","-"
"1100049006","Novo Cacoal - Cacoal (RO)","Total","Total","1387","1244","-","143","-","-"
"1100049007","Residencial Parque Brizon - Cacoal (RO)","Total","Total","724","704","-","20","-","-"
"1100049008","Vilage do Sol - Cacoal (RO)","Total","Total","1830","1802","-","28","-","-"
"1100049009","Saúde - Cacoal (RO)","Total","Total","267","259","-","8","-","-"
"1100049010","Teixeirão - Cacoal (RO)","Total","Total","1434","1411","-","22","1","-"
"1100049011","Floresta - Cacoal (RO)","Total","Total","822","781","-","41","-","-"
"1100049012","INCRA - Cacoal (RO)","Total","Total","292","281","-","11","-","-"
"1100049013","Santo Antônio - Cacoal (RO)","Total","Total","439","400","2","37","-","-"
"1100049014","Industrial - Cacoal (RO)","Total","Total","349","342","-","7","-","-"
"1100049015","Cristal do Arco-Íris - Cacoal (RO)","Total","Total","440","440","-","-","-","-"
"1100049016","Parque Industrial Governador Jerônimo Santana - Cacoal (RO)","Total","Total","..","..","..","..","..",".."
"1100049017","Jardim Bandeirantes - Cacoal (RO)","Total","Total","219","216","-","3","-","-"
"1100049018","Jardim Vista Alegre - Cacoal (RO)","Total","Total","1871","1818","1","42","10","-"
"1100049019","Conjunto Haley - Cacoal (RO)","Total","Total","759","755","3","1","-","-"
"1100049020","Conjunto Habitacional Nova Esperança - Cacoal (RO)","Total","Total","672","668","1","3","-","-"
"1100049021","Sociedade Bela Vista - Cacoal (RO)","Total","Total","386","386","-","-","-","-"
"1100064001","Centro - Colorado do Oeste (RO)","Total","Total","933","907","-","11","15","-"
"1100064002","Cruzeiro - Colorado do Oeste (RO)","Total","Total","795","794","1","-","-","-"
"1100064003","Jorge Teixeira - Colorado do Oeste (RO)","Total","Total","273","273","-","-","-","-"
