"Tabela 3219 - Domicílios particulares permanentes, por número de moradores, segundo a situação do domicílio, o tipo de domicílio, a condição de ocupação e a existência de banheiro ou sanitário e esgotamento sanitário"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Ano x Número de moradores x Situação do domicílio x Tipo de domicílio"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","2010"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total"
"Cód.","Município","Condição de ocupação do domicílio","Existência de banheiro ou sanitário e esgotamento sanitário","Total","Casa","Casa de vila ou em condomínio","Apartamento","Habitação em casa de cômodos, cortiço ou cabeça de porco","Oca ou maloca"
"1100015","Alta Floresta D'Oeste (RO)","Total","Total","7270","7244","9","15","1","1"
"1100023","Ariquemes (RO)","Total","Total","27166","24734","168","2236","28","-"
"1100031","Cabixi (RO)","Total","Total","1975","1973","1","1","-","-"
"1100049","Cacoal (RO)","Total","Total","24215","23012","14","1161","27","1"
"1100056","Cerejeiras (RO)","Total","Total","5348","5303","6","34","5","-"
"1100064","Colorado do Oeste (RO)","Total","Total","5959","5920","5","16","18","-"
"1100072","Corumbiara (RO)","Total","Total","2649","2642","2","2","-","3"
"1100080","Costa Marques (RO)","Total","Total","3696","3684","3","4","5","-"
"1100098","Espigão D'Oeste (RO)","Total","Total","8683","8602","29","45","7","-"
"1100106","Guajará-Mirim (RO)","Total","Total","10684","10080","289","200","25","90"
"1100114","Jaru (RO)","Total","Total","15910","15520","18","314","58","-"
"1100122","Ji-Paraná (RO)","Total","Total","35567","33253","60","2169","84","1"
"1100130","Machadinho D'Oeste (RO)","Total","Total","9154","8960","13","124","57","-"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","Total","5916","5913","1","2","-","-"
"1100155","Ouro Preto do Oeste (RO)","Total","Total","11652","11512","12","112","16","-"
"1100189","Pimenta Bueno (RO)","Total","Total","10037","9815","7","198","17","-"
"1100205","Porto Velho (RO)","Total","Total","116863","96537","2617","16809","900","-"
"1100254","Presidente Médici (RO)","Total","Total","6842","6812","10","15","5","-"
"1100262","Rio Crespo (RO)","Total","Total","997","991","1","-","5","-"
"1100288","Rolim de Moura (RO)","Total","Total","15790","15278","52","396","64","-"
"1100296","Santa Luzia D'Oeste (RO)","Total","Total","2746","2741","2","3","-","-"
"1100304","Vilhena (RO)","Total","Total","23506","21532","107","1752","115","-"
"1100320","São Miguel do Guaporé (RO)","Total","Total","6391","6331","17","37","5","1"
"1100338","Nova Mamoré (RO)","Total","Total","6377","6307","21","44","3","2"
"1100346","Alvorada D'Oeste (RO)","Total","Total","5011","4999","-","8","4","-"
"1100379","Alto Alegre dos Parecis (RO)","Total","Total","3696","3678","4","-","3","11"
"1100403","Alto Paraíso (RO)","Total","Total","5071","5013","9","42","7","-"
"1100452","Buritis (RO)","Total","Total","9476","9288","18","139","31","-"
"1100502","Novo Horizonte do Oeste (RO)","Total","Total","2983","2976","-","4","3","-"
"1100601","Cacaulândia (RO)","Total","Total","1692","1689","3","-","-","-"
"1100700","Campo Novo de Rondônia (RO)","Total","Total","3637","3627","1","9","-","-"
"1100809","Candeias do Jamari (RO)","Total","Total","5685","5371","7","295","12","-"
"1100908","Castanheiras (RO)","Total","Total","1108","1107","1","-","-","-"
"1100924","Chupinguaia (RO)","Total","Total","2345","2299","8","18","19","1"
"1100940","Cujubim (RO)","Total","Total","4591","4547","20","17","7","-"
"1101005","Governador Jorge Teixeira (RO)","Total","Total","3007","2993","5","5","1","3"
"1101104","Itapuã do Oeste (RO)","Total","Total","2533","2439","50","27","17","-"
"1101203","Ministro Andreazza (RO)","Total","Total","2925","2916","-","7","2","-"
"1101302","Mirante da Serra (RO)","Total","Total","3515","3503","7","4","1","-"
"1101401","Monte Negro (RO)","Total","Total","4067","4017","6","43","1","-"
"1101435","Nova União (RO)","Total","Total","2100","2098","2","-","-","-"
"1101450","Parecis (RO)","Total","Total","1389","1385","-","-","4","-"
"1101468","Pimenteiras do Oeste (RO)","Total","Total","700","698","1","-","1","-"
"1101476","Primavera de Rondônia (RO)","Total","Total","1079","1078","-","-","1","-"
"1101484","São Felipe D'Oeste (RO)","Total","Total","1810","1808","2","-","-","-"
"1101492","São Francisco do Guaporé (RO)","Total","Total","4728","4709","4","8","2","5"
"1101500","Seringueiras (RO)","Total","Total","3357","3344","-","8","5","-"
"1101559","Teixeirópolis (RO)","Total","Total","1475","1471","2","2","-","-"
"1101609","Theobroma (RO)","Total","Total","3068","3064","-","1","3","-"
"1101708","Urupá (RO)","Total","Total","3920","3879","32","8","1","-"
"1101757","Vale do Anari (RO)","Total","Total","2806","2790","6","-","10","-"
"1101807","Vale do Paraíso (RO)","Total","Total","2432","2424","-","8","-","-"
"1200013","Acrelândia (AC)","Total","Total","3459","3434","5","9","11","-"
"1200054","Assis Brasil (AC)","Total","Total","1539","1523","-","2","14","-"
"1200104","Brasiléia (AC)","Total","Total","5930","5724","6","170","30","-"
"1200138","Bujari (AC)","Total","Total","2330","2312","1","12","5","-"
"1200179","Capixaba (AC)","Total","Total","2353","2315","-","33","5","-"
"1200203","Cruzeiro do Sul (AC)","Total","Total","18581","18122","77","330","52","-"
"1200252","Epitaciolândia (AC)","Total","Total","4391","4230","3","151","7","-"
"1200302","Feijó (AC)","Total","Total","7037","6845","2","70","4","116"
"1200328","Jordão (AC)","Total","Total","1303","1275","8","12","8","-"
"1200336","Mâncio Lima (AC)","Total","Total","3586","3586","-","-","-","-"
"1200344","Manoel Urbano (AC)","Total","Total","1858","1772","6","7","-","73"
