"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5000856001","Jardim das Flores - Angélica (MS)","Total","10 a 14 anos","69","24","7","-","-","-","-","-","-","-","-","-","38","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","15 a 19 anos","65","9","6","10","10","2","-","-","-","-","-","-","28","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","15 a 17 anos","39","8","4","7","2","-","-","-","-","-","-","-","18","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","18 ou 19 anos","26","1","2","3","8","2","-","-","-","-","-","-","10","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","20 a 24 anos","50","-","1","7","19","6","6","-","-","-","-","-","11","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","25 a 29 anos","59","4","-","7","22","8","6","-","-","-","-","1","11","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","30 a 34 anos","64","2","3","14","19","5","8","-","1","-","-","-","12","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","35 a 39 anos","67","6","2","13","20","3","14","3","-","-","-","-","6","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","40 a 44 anos","53","2","1","10","16","4","6","3","-","-","-","-","11","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","45 a 49 anos","48","-","3","10","13","6","4","3","-","-","-","-","9","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","50 a 54 anos","33","1","3","7","11","1","4","1","-","1","1","-","3","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","55 a 59 anos","39","-","2","13","13","4","2","1","-","-","-","-","4","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","60 a 69 anos","57","-","-","36","12","2","2","2","-","-","-","-","3","-"
"5000856001","Jardim das Flores - Angélica (MS)","Total","70 anos ou mais","60","-","1","43","13","-","3","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","10 a 14 anos","6","1","-","-","-","-","-","-","-","-","-","-","5","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","15 a 19 anos","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","15 a 17 anos","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","18 ou 19 anos","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","20 a 24 anos","4","-","1","1","-","1","-","-","-","-","-","-","1","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","25 a 29 anos","2","-","-","-","-","1","1","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","30 a 34 anos","6","-","-","-","3","3","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","35 a 39 anos","1","-","-","1","-","-","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","40 a 44 anos","3","-","-","-","-","-","1","1","-","-","-","-","1","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","45 a 49 anos","3","-","-","1","2","-","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","50 a 54 anos","2","-","-","-","-","1","-","-","1","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","55 a 59 anos","1","-","-","-","1","-","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","60 a 69 anos","2","-","-","2","-","-","-","-","-","-","-","-","-","-"
"5000856002","Jardim dos Estados - Angélica (MS)","Total","70 anos ou mais","3","-","-","3","-","-","-","-","-","-","-","-","-","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","10 a 14 anos","13","1","-","1","-","-","-","-","-","-","-","-","11","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","15 a 19 anos","25","1","3","6","1","-","-","-","-","-","-","-","14","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","15 a 17 anos","15","1","2","3","-","-","-","-","-","-","-","-","9","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","18 ou 19 anos","10","-","1","3","1","-","-","-","-","-","-","-","5","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","20 a 24 anos","34","1","3","8","8","6","2","2","-","-","-","-","4","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","25 a 29 anos","24","-","-","1","7","6","2","3","-","-","1","-","4","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","30 a 34 anos","21","1","1","1","4","7","4","1","-","1","-","-","1","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","35 a 39 anos","18","1","-","1","3","5","5","-","-","-","-","-","3","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","40 a 44 anos","29","-","-","6","5","2","6","5","-","-","-","-","5","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","45 a 49 anos","9","-","-","1","2","1","4","-","-","-","-","-","1","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","50 a 54 anos","15","-","-","3","2","2","1","3","1","-","-","-","3","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","55 a 59 anos","27","-","1","7","3","1","6","-","1","-","1","-","7","-"
"5000856003","Setor Industrial - Angélica (MS)","Total","60 a 69 anos","16","-","-","9","2","1","3","-","-","-","-","-","1","-"
