"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2300101001","Centro - Abaiara (CE)","Total","10 a 14 anos","243","1","-","-","1","-","-","-","-","-","-","-","241","-"
"2300101001","Centro - Abaiara (CE)","Total","15 a 19 anos","223","20","16","10","1","-","-","-","-","-","-","-","176","-"
"2300101001","Centro - Abaiara (CE)","Total","15 a 17 anos","147","9","3","4","-","-","-","-","-","-","-","-","131","-"
"2300101001","Centro - Abaiara (CE)","Total","18 ou 19 anos","76","11","13","6","1","-","-","-","-","-","-","-","45","-"
"2300101001","Centro - Abaiara (CE)","Total","20 a 24 anos","234","28","37","56","11","3","-","-","-","-","-","-","99","-"
"2300101001","Centro - Abaiara (CE)","Total","25 a 29 anos","205","34","37","56","14","2","3","-","-","-","-","-","59","-"
"2300101001","Centro - Abaiara (CE)","Total","30 a 34 anos","206","29","43","62","16","6","1","-","1","-","-","-","48","-"
"2300101001","Centro - Abaiara (CE)","Total","35 a 39 anos","177","33","24","56","15","11","2","-","-","-","-","-","36","-"
"2300101001","Centro - Abaiara (CE)","Total","40 a 44 anos","141","28","26","41","13","4","4","3","-","-","-","-","22","-"
"2300101001","Centro - Abaiara (CE)","Total","45 a 49 anos","120","15","18","43","8","5","7","2","1","-","-","-","21","-"
"2300101001","Centro - Abaiara (CE)","Total","50 a 54 anos","102","17","15","32","9","5","1","1","-","-","-","-","22","-"
"2300101001","Centro - Abaiara (CE)","Total","55 a 59 anos","84","17","7","36","6","3","-","1","-","-","-","-","14","-"
"2300101001","Centro - Abaiara (CE)","Total","60 a 69 anos","195","1","5","157","16","3","2","1","-","-","-","-","10","-"
"2300101001","Centro - Abaiara (CE)","Total","70 anos ou mais","156","-","-","124","28","-","1","1","-","-","-","-","2","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","10 a 14 anos","82","2","-","-","-","-","-","-","-","-","-","-","80","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","15 a 19 anos","58","4","2","6","-","-","-","-","-","-","-","-","46","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","15 a 17 anos","41","2","-","3","-","-","-","-","-","-","-","-","36","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","18 ou 19 anos","17","2","2","3","-","-","-","-","-","-","-","-","10","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","20 a 24 anos","58","11","11","8","2","-","-","-","-","-","-","-","26","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","25 a 29 anos","57","9","18","12","2","-","-","-","-","-","-","-","16","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","30 a 34 anos","43","11","14","8","1","-","-","-","-","-","-","-","9","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","35 a 39 anos","47","12","19","7","2","-","-","-","-","-","-","-","7","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","40 a 44 anos","27","8","7","8","-","-","-","-","-","-","-","-","4","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","45 a 49 anos","16","3","7","3","1","1","-","-","-","-","-","-","1","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","50 a 54 anos","21","8","4","5","1","-","-","-","-","-","-","-","3","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","55 a 59 anos","15","3","2","4","1","-","-","-","-","-","-","-","5","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","60 a 69 anos","37","-","1","33","2","-","-","-","-","-","-","-","1","-"
"2300101002","Alto da Alegria - Abaiara (CE)","Total","70 anos ou mais","25","-","-","20","4","-","-","-","-","-","-","-","1","-"
