"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","10 a 14 anos","142","2","2","-","-","-","-","-","-","-","-","-","138","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","15 a 19 anos","187","1","8","30","10","-","2","-","-","-","-","-","136","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","15 a 17 anos","106","-","3","10","-","-","-","-","-","-","-","-","93","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","18 ou 19 anos","81","1","5","20","10","-","2","-","-","-","-","-","43","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","20 a 24 anos","205","2","7","62","42","9","6","1","-","-","-","-","76","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","25 a 29 anos","156","1","2","28","40","14","12","9","-","1","-","-","49","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","30 a 34 anos","163","1","3","41","38","18","13","10","1","-","-","-","38","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","35 a 39 anos","155","2","1","43","39","17","8","8","1","2","-","-","34","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","40 a 44 anos","170","2","4","34","45","18","21","6","-","2","-","-","38","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","45 a 49 anos","147","-","2","33","36","15","12","17","-","-","-","-","32","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","50 a 54 anos","104","-","1","27","23","7","12","9","-","-","-","-","25","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","55 a 59 anos","87","-","1","29","17","10","7","9","-","-","1","-","13","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","60 a 69 anos","104","-","-","53","21","8","6","4","2","-","-","-","10","-"
"1100015001","Centro - Alta Floresta D'Oeste (RO)","Total","70 anos ou mais","62","-","-","51","8","2","-","-","-","-","-","-","1","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","10 a 14 anos","104","6","-","2","1","-","-","-","-","-","-","-","95","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","15 a 19 anos","112","3","12","11","5","1","-","-","-","-","-","-","80","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","15 a 17 anos","72","3","6","4","1","1","-","-","-","-","-","-","57","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","18 ou 19 anos","40","-","6","7","4","-","-","-","-","-","-","-","23","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","20 a 24 anos","82","3","4","14","20","7","2","2","-","-","-","-","30","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","25 a 29 anos","104","-","4","27","28","15","5","3","-","2","-","-","20","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","30 a 34 anos","98","3","8","21","31","3","6","10","1","-","-","-","15","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","35 a 39 anos","89","2","-","26","24","12","6","5","-","-","1","-","13","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","40 a 44 anos","75","2","5","21","20","7","7","-","1","-","-","-","12","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","45 a 49 anos","58","-","2","8","19","4","8","4","-","-","-","1","12","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","50 a 54 anos","47","-","2","18","9","3","4","-","1","-","-","-","10","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","55 a 59 anos","34","-","2","13","8","2","3","1","1","-","-","1","3","-"
"1100015002","Liberdade - Alta Floresta D'Oeste (RO)","Total","60 a 69 anos","55","-","-","35","16","3","-","1","-","-","-","-","-","-"
