"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"3505708001","Centro - Barueri (SP)","Total","10 a 14 anos","577","1","3","10","5","-","-","-","-","-","-","-","558","-"
"3505708001","Centro - Barueri (SP)","Total","15 a 19 anos","560","3","5","54","91","10","6","2","-","-","-","-","389","-"
"3505708001","Centro - Barueri (SP)","Total","15 a 17 anos","343","2","4","28","23","2","-","1","-","-","-","-","283","-"
"3505708001","Centro - Barueri (SP)","Total","18 ou 19 anos","217","1","1","26","68","8","6","1","-","-","-","-","106","-"
"3505708001","Centro - Barueri (SP)","Total","20 a 24 anos","673","1","3","64","247","64","59","27","2","-","-","-","206","-"
"3505708001","Centro - Barueri (SP)","Total","25 a 29 anos","673","3","4","48","240","97","94","55","7","4","1","-","120","-"
"3505708001","Centro - Barueri (SP)","Total","30 a 34 anos","626","1","2","43","191","78","111","55","21","5","2","-","117","-"
"3505708001","Centro - Barueri (SP)","Total","35 a 39 anos","528","-","-","39","162","67","82","65","2","9","-","-","102","-"
"3505708001","Centro - Barueri (SP)","Total","40 a 44 anos","516","-","2","34","126","71","91","66","15","5","1","1","104","-"
"3505708001","Centro - Barueri (SP)","Total","45 a 49 anos","492","2","5","43","108","65","74","68","12","5","1","-","109","-"
"3505708001","Centro - Barueri (SP)","Total","50 a 54 anos","428","1","3","40","93","52","60","52","14","7","3","-","103","-"
"3505708001","Centro - Barueri (SP)","Total","55 a 59 anos","379","-","4","21","92","47","65","47","8","5","2","-","88","-"
"3505708001","Centro - Barueri (SP)","Total","60 a 69 anos","499","1","2","69","98","64","74","37","6","4","-","-","144","-"
"3505708001","Centro - Barueri (SP)","Total","70 anos ou mais","433","-","1","105","107","33","31","19","1","-","2","-","134","-"
"3505708002","Califórnia - Barueri (SP)","Total","10 a 14 anos","1577","25","14","26","9","-","-","-","-","-","-","-","1503","-"
"3505708002","Califórnia - Barueri (SP)","Total","15 a 19 anos","1395","11","29","149","226","9","3","2","-","-","-","-","966","-"
"3505708002","Califórnia - Barueri (SP)","Total","15 a 17 anos","847","9","20","72","45","1","-","-","-","-","-","-","700","-"
"3505708002","Califórnia - Barueri (SP)","Total","18 ou 19 anos","548","2","9","77","181","8","3","2","-","-","-","-","266","-"
"3505708002","Califórnia - Barueri (SP)","Total","20 a 24 anos","1555","3","11","150","747","113","44","9","-","-","-","-","478","-"
"3505708002","Califórnia - Barueri (SP)","Total","25 a 29 anos","1525","9","8","124","693","160","96","50","10","1","2","-","372","-"
"3505708002","Califórnia - Barueri (SP)","Total","30 a 34 anos","1620","5","22","136","693","181","136","93","7","12","1","-","334","-"
"3505708002","Califórnia - Barueri (SP)","Total","35 a 39 anos","1430","11","15","140","539","170","130","77","12","9","6","1","320","-"
"3505708002","Califórnia - Barueri (SP)","Total","40 a 44 anos","1178","6","11","104","443","144","112","65","9","8","1","3","272","-"
"3505708002","Califórnia - Barueri (SP)","Total","45 a 49 anos","947","6","7","113","333","104","86","58","9","4","4","1","222","-"
"3505708002","Califórnia - Barueri (SP)","Total","50 a 54 anos","706","7","9","93","207","82","70","34","2","1","1","1","199","-"
"3505708002","Califórnia - Barueri (SP)","Total","55 a 59 anos","558","2","12","89","132","69","55","34","3","1","1","1","159","-"
"3505708002","Califórnia - Barueri (SP)","Total","60 a 69 anos","664","7","10","201","145","64","44","19","2","1","2","-","169","-"
"3505708002","Califórnia - Barueri (SP)","Total","70 anos ou mais","386","-","1","215","67","25","14","3","1","-","-","-","60","-"
"3505708003","Boa Vista - Barueri (SP)","Total","10 a 14 anos","744","6","6","7","5","1","1","-","-","-","-","-","718","-"
"3505708003","Boa Vista - Barueri (SP)","Total","15 a 19 anos","672","5","11","66","89","9","4","1","-","-","-","-","487","-"
"3505708003","Boa Vista - Barueri (SP)","Total","15 a 17 anos","405","3","5","31","19","-","-","-","-","-","-","-","347","-"
"3505708003","Boa Vista - Barueri (SP)","Total","18 ou 19 anos","267","2","6","35","70","9","4","1","-","-","-","-","140","-"
"3505708003","Boa Vista - Barueri (SP)","Total","20 a 24 anos","805","1","4","71","324","84","46","29","1","-","-","1","244","-"
"3505708003","Boa Vista - Barueri (SP)","Total","25 a 29 anos","825","3","6","54","282","118","106","65","7","-","-","-","184","-"
"3505708003","Boa Vista - Barueri (SP)","Total","30 a 34 anos","738","4","11","50","229","101","97","82","15","7","-","-","142","-"
"3505708003","Boa Vista - Barueri (SP)","Total","35 a 39 anos","733","4","7","59","230","97","96","76","13","5","6","1","139","-"
"3505708003","Boa Vista - Barueri (SP)","Total","40 a 44 anos","627","3","4","50","175","90","83","85","11","2","-","-","124","-"
"3505708003","Boa Vista - Barueri (SP)","Total","45 a 49 anos","621","4","6","63","155","79","73","87","11","7","2","1","133","-"
"3505708003","Boa Vista - Barueri (SP)","Total","50 a 54 anos","545","4","4","57","114","76","75","65","16","9","2","2","121","-"
"3505708003","Boa Vista - Barueri (SP)","Total","55 a 59 anos","437","1","4","56","83","51","74","44","5","10","-","-","109","-"
"3505708003","Boa Vista - Barueri (SP)","Total","60 a 69 anos","582","-","9","104","122","71","82","57","8","8","2","1","118","-"
"3505708003","Boa Vista - Barueri (SP)","Total","70 anos ou mais","413","1","2","175","91","46","35","12","2","1","-","-","48","-"
"3505708004","Alphaville - Barueri (SP)","Total","10 a 14 anos","666","1","1","3","1","2","2","1","1","-","-","1","653","-"
"3505708004","Alphaville - Barueri (SP)","Total","15 a 19 anos","698","-","4","7","43","10","8","8","-","1","-","-","617","-"
"3505708004","Alphaville - Barueri (SP)","Total","15 a 17 anos","419","-","3","4","6","1","-","1","-","1","-","-","403","-"
"3505708004","Alphaville - Barueri (SP)","Total","18 ou 19 anos","279","-","1","3","37","9","8","7","-","-","-","-","214","-"
"3505708004","Alphaville - Barueri (SP)","Total","20 a 24 anos","935","1","1","17","154","80","85","80","24","16","3","2","472","-"
"3505708004","Alphaville - Barueri (SP)","Total","25 a 29 anos","1274","2","-","11","110","86","175","303","84","82","31","13","377","-"
"3505708004","Alphaville - Barueri (SP)","Total","30 a 34 anos","1277","1","2","16","65","71","107","295","98","159","89","31","343","-"
"3505708004","Alphaville - Barueri (SP)","Total","35 a 39 anos","1037","-","2","5","52","36","60","210","71","134","97","78","292","-"
"3505708004","Alphaville - Barueri (SP)","Total","40 a 44 anos","939","1","1","11","36","30","53","168","75","134","88","81","261","-"
"3505708004","Alphaville - Barueri (SP)","Total","45 a 49 anos","990","1","1","4","36","25","59","164","61","136","108","109","286","-"
"3505708004","Alphaville - Barueri (SP)","Total","50 a 54 anos","944","-","-","7","49","17","51","154","68","119","97","105","277","-"
"3505708004","Alphaville - Barueri (SP)","Total","55 a 59 anos","976","-","-","8","33","31","49","154","53","134","91","120","303","-"
"3505708004","Alphaville - Barueri (SP)","Total","60 a 69 anos","1368","2","-","29","39","47","95","219","68","190","127","168","384","-"
"3505708004","Alphaville - Barueri (SP)","Total","70 anos ou mais","937","-","2","58","69","49","97","142","43","84","56","43","294","-"
"3505708005","Jubran - Barueri (SP)","Total","10 a 14 anos","49","-","-","-","-","-","1","-","-","-","-","-","48","-"
"3505708005","Jubran - Barueri (SP)","Total","15 a 19 anos","49","-","-","3","4","1","-","-","-","1","-","-","40","-"
"3505708005","Jubran - Barueri (SP)","Total","15 a 17 anos","30","-","-","2","1","-","-","-","-","1","-","-","26","-"
"3505708005","Jubran - Barueri (SP)","Total","18 ou 19 anos","19","-","-","1","3","1","-","-","-","-","-","-","14","-"
"3505708005","Jubran - Barueri (SP)","Total","20 a 24 anos","45","-","-","-","8","7","6","8","-","2","-","-","14","-"
"3505708005","Jubran - Barueri (SP)","Total","25 a 29 anos","73","-","-","-","4","7","5","21","13","12","2","1","8","-"
"3505708005","Jubran - Barueri (SP)","Total","30 a 34 anos","122","-","-","-","1","4","10","49","23","14","3","2","16","-"
"3505708005","Jubran - Barueri (SP)","Total","35 a 39 anos","95","-","-","2","1","2","14","31","13","12","2","-","18","-"
"3505708005","Jubran - Barueri (SP)","Total","40 a 44 anos","62","-","-","1","1","1","7","29","4","6","6","1","6","-"
"3505708005","Jubran - Barueri (SP)","Total","45 a 49 anos","59","-","-","2","3","5","4","21","9","4","2","1","8","-"
"3505708005","Jubran - Barueri (SP)","Total","50 a 54 anos","43","-","-","-","-","3","6","15","7","5","2","1","4","-"
"3505708005","Jubran - Barueri (SP)","Total","55 a 59 anos","24","-","-","1","1","1","1","5","4","4","3","-","4","-"
"3505708005","Jubran - Barueri (SP)","Total","60 a 69 anos","30","-","-","2","1","4","6","5","1","-","3","2","6","-"
"3505708005","Jubran - Barueri (SP)","Total","70 anos ou mais","19","-","-","4","5","1","5","2","-","-","1","-","1","-"
"3505708006","Tamboré - Barueri (SP)","Total","10 a 14 anos","119","-","-","-","-","-","-","-","-","-","-","-","119","-"
"3505708006","Tamboré - Barueri (SP)","Total","15 a 19 anos","62","-","-","2","-","-","1","1","-","-","-","-","58","-"
"3505708006","Tamboré - Barueri (SP)","Total","15 a 17 anos","33","-","-","1","-","-","-","-","-","-","-","-","32","-"
"3505708006","Tamboré - Barueri (SP)","Total","18 ou 19 anos","29","-","-","1","-","-","1","1","-","-","-","-","26","-"
"3505708006","Tamboré - Barueri (SP)","Total","20 a 24 anos","84","-","-","2","5","1","-","3","-","2","1","-","70","-"
"3505708006","Tamboré - Barueri (SP)","Total","25 a 29 anos","65","-","-","-","6","2","2","7","-","1","1","-","46","-"
"3505708006","Tamboré - Barueri (SP)","Total","30 a 34 anos","86","-","-","2","1","2","1","7","1","2","1","6","63","-"
"3505708006","Tamboré - Barueri (SP)","Total","35 a 39 anos","59","-","-","-","7","-","1","2","1","7","5","11","25","-"
"3505708006","Tamboré - Barueri (SP)","Total","40 a 44 anos","126","-","-","-","4","-","1","10","-","16","14","23","58","-"
"3505708006","Tamboré - Barueri (SP)","Total","45 a 49 anos","128","-","-","1","3","2","2","8","2","22","23","23","42","-"
"3505708006","Tamboré - Barueri (SP)","Total","50 a 54 anos","84","-","-","-","-","-","-","3","3","12","18","18","30","-"
"3505708006","Tamboré - Barueri (SP)","Total","55 a 59 anos","67","-","-","-","1","1","1","3","1","15","14","11","20","-"
"3505708006","Tamboré - Barueri (SP)","Total","60 a 69 anos","54","-","-","-","2","-","1","5","1","8","8","14","15","-"
"3505708006","Tamboré - Barueri (SP)","Total","70 anos ou mais","44","-","-","1","-","-","-","4","-","4","4","11","20","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","10 a 14 anos","2029","26","21","19","12","2","1","1","-","-","-","-","1947","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","15 a 19 anos","2060","22","31","207","323","24","5","2","1","-","-","-","1445","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","15 a 17 anos","1243","18","24","90","64","3","-","-","-","-","-","-","1044","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","18 ou 19 anos","817","4","7","117","259","21","5","2","1","-","-","-","401","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","20 a 24 anos","2257","12","8","233","899","176","88","16","2","1","1","-","821","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","25 a 29 anos","2313","6","18","201","961","256","139","69","5","5","1","-","652","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","30 a 34 anos","2082","13","9","184","822","248","164","71","10","3","1","-","557","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","35 a 39 anos","1819","10","16","152","682","233","187","68","4","3","1","1","462","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","40 a 44 anos","1678","6","21","165","603","208","158","106","10","4","-","-","397","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","45 a 49 anos","1306","5","12","134","385","175","135","57","5","4","-","1","393","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","50 a 54 anos","1051","6","21","120","265","118","98","49","5","2","1","-","366","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","55 a 59 anos","840","4","10","99","207","90","56","25","1","3","-","-","345","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","60 a 69 anos","907","1","10","213","212","90","59","16","4","-","-","-","302","-"
"3505708007","Engenho Novo - Barueri (SP)","Total","70 anos ou mais","468","1","3","206","86","22","14","7","-","-","-","-","129","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","10 a 14 anos","1285","13","10","10","4","4","-","-","-","-","-","-","1244","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","15 a 19 anos","1169","13","20","123","170","13","5","3","1","-","-","-","821","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","15 a 17 anos","731","11","16","66","35","2","2","1","-","-","-","-","598","-"
"3505708008","Cruz Preta - Barueri (SP)","Total","18 ou 19 anos","438","2","4","57","135","11","3","2","1","-","-","-","223","-"
