"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Bairro","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Bairro","Sexo","Grupo de idade","2010"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Bairro","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4300851001","Caramuru - Arambaré (RS)","Total","10 a 14 anos","17","-","-","1","1","-","-","-","-","-","-","-","15","-"
"4300851001","Caramuru - Arambaré (RS)","Total","15 a 19 anos","26","1","1","4","2","-","-","-","-","-","-","-","18","-"
"4300851001","Caramuru - Arambaré (RS)","Total","15 a 17 anos","18","-","1","2","-","-","-","-","-","-","-","-","15","-"
"4300851001","Caramuru - Arambaré (RS)","Total","18 ou 19 anos","8","1","-","2","2","-","-","-","-","-","-","-","3","-"
"4300851001","Caramuru - Arambaré (RS)","Total","20 a 24 anos","15","-","1","1","4","-","-","-","-","-","-","-","9","-"
"4300851001","Caramuru - Arambaré (RS)","Total","25 a 29 anos","12","1","-","2","2","1","-","-","-","-","-","-","6","-"
"4300851001","Caramuru - Arambaré (RS)","Total","30 a 34 anos","15","-","-","7","2","-","2","-","-","-","-","-","4","-"
"4300851001","Caramuru - Arambaré (RS)","Total","35 a 39 anos","12","-","-","-","3","1","2","1","-","-","-","-","5","-"
"4300851001","Caramuru - Arambaré (RS)","Total","40 a 44 anos","26","-","3","6","4","-","2","1","-","-","-","-","10","-"
"4300851001","Caramuru - Arambaré (RS)","Total","45 a 49 anos","21","-","-","8","6","1","2","1","-","-","-","-","3","-"
"4300851001","Caramuru - Arambaré (RS)","Total","50 a 54 anos","22","-","-","3","7","2","1","-","-","-","-","-","9","-"
"4300851001","Caramuru - Arambaré (RS)","Total","55 a 59 anos","27","-","2","4","7","7","1","2","-","-","-","-","4","-"
"4300851001","Caramuru - Arambaré (RS)","Total","60 a 69 anos","32","-","1","12","4","3","4","2","-","1","-","-","5","-"
"4300851001","Caramuru - Arambaré (RS)","Total","70 anos ou mais","18","-","-","7","5","1","1","1","-","-","-","-","3","-"
"4300877001","Centro - Araricá (RS)","Total","10 a 14 anos","92","3","5","-","1","-","-","-","-","-","-","-","83","-"
"4300877001","Centro - Araricá (RS)","Total","15 a 19 anos","84","-","1","17","31","1","-","-","-","-","-","-","34","-"
"4300877001","Centro - Araricá (RS)","Total","15 a 17 anos","47","-","1","6","8","-","-","-","-","-","-","-","32","-"
"4300877001","Centro - Araricá (RS)","Total","18 ou 19 anos","37","-","-","11","23","1","-","-","-","-","-","-","2","-"
"4300877001","Centro - Araricá (RS)","Total","20 a 24 anos","90","-","1","16","51","5","1","-","-","-","-","-","16","-"
"4300877001","Centro - Araricá (RS)","Total","25 a 29 anos","90","1","-","13","54","6","9","1","-","-","-","-","6","-"
"4300877001","Centro - Araricá (RS)","Total","30 a 34 anos","80","2","-","12","38","11","2","4","-","-","-","-","11","-"
"4300877001","Centro - Araricá (RS)","Total","35 a 39 anos","78","-","2","12","38","11","5","2","1","-","-","-","7","-"
"4300877001","Centro - Araricá (RS)","Total","40 a 44 anos","86","1","2","14","39","9","7","6","-","-","-","-","8","-"
"4300877001","Centro - Araricá (RS)","Total","45 a 49 anos","79","1","3","16","29","8","4","7","-","-","-","-","11","-"
"4300877001","Centro - Araricá (RS)","Total","50 a 54 anos","57","-","-","20","19","9","1","3","-","-","-","-","5","-"
"4300877001","Centro - Araricá (RS)","Total","55 a 59 anos","48","1","-","17","13","4","2","2","-","-","-","-","9","-"
"4300877001","Centro - Araricá (RS)","Total","60 a 69 anos","80","-","-","34","26","7","5","1","-","-","1","-","6","-"
"4300877001","Centro - Araricá (RS)","Total","70 anos ou mais","66","-","1","26","21","9","2","3","1","-","-","-","3","-"
