"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"5000203","Água Clara (MS)","Total","10 a 14 anos","1426","86","42","24","8","-","2","-","-","-","-","-","1264","-"
"5000203","Água Clara (MS)","Total","15 a 19 anos","1299","35","49","219","191","8","3","-","-","-","-","-","794","-"
"5000203","Água Clara (MS)","Total","15 a 17 anos","804","32","35","96","74","3","1","-","-","-","-","-","563","-"
"5000203","Água Clara (MS)","Total","18 ou 19 anos","495","3","14","123","117","5","2","-","-","-","-","-","231","-"
"5000203","Água Clara (MS)","Total","20 a 24 anos","1422","12","22","257","554","77","21","10","-","-","-","-","469","-"
"5000203","Água Clara (MS)","Total","25 a 29 anos","1414","21","32","191","548","143","83","33","1","5","-","1","356","-"
"5000203","Água Clara (MS)","Total","30 a 34 anos","1353","14","36","230","452","150","112","40","5","6","3","1","304","-"
"5000203","Água Clara (MS)","Total","35 a 39 anos","1114","10","17","199","370","151","82","37","4","1","1","1","241","-"
"5000203","Água Clara (MS)","Total","40 a 44 anos","1002","8","20","185","328","118","62","58","5","2","-","1","215","-"
"5000203","Água Clara (MS)","Total","45 a 49 anos","821","5","18","144","258","77","76","31","2","4","4","1","201","-"
"5000203","Água Clara (MS)","Total","50 a 54 anos","674","3","18","122","199","60","52","48","4","7","2","4","155","-"
"5000203","Água Clara (MS)","Total","55 a 59 anos","469","3","10","79","137","37","28","21","5","1","-","1","147","-"
"5000203","Água Clara (MS)","Total","60 a 69 anos","504","3","6","163","114","29","21","20","3","1","1","2","141","-"
"5000203","Água Clara (MS)","Total","70 anos ou mais","272","-","-","163","38","4","9","8","1","1","-","1","47","-"
"5000252","Alcinópolis (MS)","Total","10 a 14 anos","397","28","14","7","3","-","1","-","-","-","-","-","344","-"
"5000252","Alcinópolis (MS)","Total","15 a 19 anos","418","13","33","94","33","5","-","-","-","-","-","-","240","-"
"5000252","Alcinópolis (MS)","Total","15 a 17 anos","269","10","24","43","9","1","-","-","-","-","-","-","182","-"
"5000252","Alcinópolis (MS)","Total","18 ou 19 anos","149","3","9","51","24","4","-","-","-","-","-","-","58","-"
"5000252","Alcinópolis (MS)","Total","20 a 24 anos","425","16","14","98","136","25","12","2","-","-","-","1","121","-"
"5000252","Alcinópolis (MS)","Total","25 a 29 anos","411","9","20","75","132","49","27","14","-","1","-","-","84","-"
"5000252","Alcinópolis (MS)","Total","30 a 34 anos","380","14","17","65","118","48","29","14","-","1","1","-","73","-"
"5000252","Alcinópolis (MS)","Total","35 a 39 anos","388","9","13","54","139","40","36","16","1","1","-","-","79","-"
"5000252","Alcinópolis (MS)","Total","40 a 44 anos","370","7","12","63","123","39","34","14","1","1","-","1","75","-"
"5000252","Alcinópolis (MS)","Total","45 a 49 anos","287","10","12","56","88","26","31","11","3","-","2","-","48","-"
"5000252","Alcinópolis (MS)","Total","50 a 54 anos","220","9","14","45","65","12","16","8","3","2","-","1","45","-"
"5000252","Alcinópolis (MS)","Total","55 a 59 anos","199","6","5","64","52","15","12","12","2","-","-","1","30","-"
"5000252","Alcinópolis (MS)","Total","60 a 69 anos","233","5","2","110","46","9","11","3","2","-","2","3","40","-"
"5000252","Alcinópolis (MS)","Total","70 anos ou mais","148","-","-","110","17","2","4","2","1","2","-","1","9","-"
