"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"2100055","Açailândia (MA)","Total","10 a 14 anos","11287","1074","129","98","15","-","1","1","-","-","-","-","9969","-"
"2100055","Açailândia (MA)","Total","15 a 19 anos","10815","749","476","1062","217","19","7","5","1","-","-","1","8278","-"
"2100055","Açailândia (MA)","Total","15 a 17 anos","6670","572","231","288","41","1","1","1","-","-","-","-","5535","-"
"2100055","Açailândia (MA)","Total","18 ou 19 anos","4145","177","245","774","176","18","6","4","1","-","-","1","2743","-"
"2100055","Açailândia (MA)","Total","20 a 24 anos","10724","579","593","3065","1426","247","116","44","2","2","1","-","4649","-"
"2100055","Açailândia (MA)","Total","25 a 29 anos","9904","600","682","2782","1860","424","295","134","13","9","4","4","3097","-"
"2100055","Açailândia (MA)","Total","30 a 34 anos","8588","490","695","2430","1730","429","301","173","23","16","9","2","2290","-"
"2100055","Açailândia (MA)","Total","35 a 39 anos","6933","370","448","2047","1289","449","331","164","21","13","8","10","1783","-"
"2100055","Açailândia (MA)","Total","40 a 44 anos","5946","303","363","1709","1039","345","283","218","18","16","7","8","1637","-"
"2100055","Açailândia (MA)","Total","45 a 49 anos","5035","238","308","1439","807","284","237","198","24","22","7","4","1467","-"
"2100055","Açailândia (MA)","Total","50 a 54 anos","3781","202","223","1154","516","152","145","123","15","21","7","8","1215","-"
"2100055","Açailândia (MA)","Total","55 a 59 anos","3001","103","154","1184","360","98","106","83","11","9","7","5","881","-"
"2100055","Açailândia (MA)","Total","60 a 69 anos","4098","34","82","2573","429","86","72","65","3","11","6","4","733","-"
"2100055","Açailândia (MA)","Total","70 anos ou mais","2872","3","8","2263","294","39","21","16","3","2","1","2","220","-"
"2100105","Afonso Cunha (MA)","Total","10 a 14 anos","741","8","15","5","-","-","-","-","-","-","-","-","713","-"
"2100105","Afonso Cunha (MA)","Total","15 a 19 anos","681","37","16","20","7","1","-","-","-","-","-","-","600","-"
"2100105","Afonso Cunha (MA)","Total","15 a 17 anos","450","11","8","3","2","-","-","-","-","-","-","-","426","-"
"2100105","Afonso Cunha (MA)","Total","18 ou 19 anos","231","26","8","17","5","1","-","-","-","-","-","-","174","-"
"2100105","Afonso Cunha (MA)","Total","20 a 24 anos","548","57","45","87","38","2","-","-","-","-","-","-","319","-"
"2100105","Afonso Cunha (MA)","Total","25 a 29 anos","452","45","58","85","48","7","5","2","-","-","-","-","202","-"
"2100105","Afonso Cunha (MA)","Total","30 a 34 anos","376","26","77","63","42","9","12","-","1","-","-","-","146","-"
"2100105","Afonso Cunha (MA)","Total","35 a 39 anos","317","38","49","61","28","11","2","-","-","-","-","-","128","-"
"2100105","Afonso Cunha (MA)","Total","40 a 44 anos","266","36","28","40","25","6","3","-","-","-","-","-","128","-"
"2100105","Afonso Cunha (MA)","Total","45 a 49 anos","240","40","28","40","19","3","2","1","-","-","-","-","107","-"
"2100105","Afonso Cunha (MA)","Total","50 a 54 anos","211","32","17","34","11","7","1","1","-","-","-","-","108","-"
"2100105","Afonso Cunha (MA)","Total","55 a 59 anos","156","11","6","67","8","2","-","-","-","-","-","-","62","-"
"2100105","Afonso Cunha (MA)","Total","60 a 69 anos","249","4","6","173","21","9","1","1","-","-","-","-","34","-"
"2100105","Afonso Cunha (MA)","Total","70 anos ou mais","191","1","4","161","10","2","2","1","-","-","-","-","10","-"
"2100154","Água Doce do Maranhão (MA)","Total","10 a 14 anos","1276","17","3","14","-","-","-","-","-","-","-","-","1242","-"
"2100154","Água Doce do Maranhão (MA)","Total","15 a 19 anos","1281","51","31","40","10","1","-","-","-","-","-","-","1148","-"
"2100154","Água Doce do Maranhão (MA)","Total","15 a 17 anos","821","30","11","13","-","-","-","-","-","-","-","-","767","-"
"2100154","Água Doce do Maranhão (MA)","Total","18 ou 19 anos","460","21","20","27","10","1","-","-","-","-","-","-","381","-"
"2100154","Água Doce do Maranhão (MA)","Total","20 a 24 anos","1102","102","94","154","56","2","2","-","-","1","-","-","691","-"
"2100154","Água Doce do Maranhão (MA)","Total","25 a 29 anos","971","125","149","143","91","12","6","2","1","1","-","-","441","-"
"2100154","Água Doce do Maranhão (MA)","Total","30 a 34 anos","778","115","119","125","78","19","9","2","-","-","-","-","311","-"
