"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"3100104","Abadia dos Dourados (MG)","Total","10 a 14 anos","548","41","10","6","-","-","-","-","-","-","-","-","491","-"
"3100104","Abadia dos Dourados (MG)","Total","15 a 19 anos","514","19","25","77","21","2","-","-","-","-","-","-","370","-"
"3100104","Abadia dos Dourados (MG)","Total","15 a 17 anos","305","12","19","19","5","1","-","-","-","-","-","-","249","-"
"3100104","Abadia dos Dourados (MG)","Total","18 ou 19 anos","209","7","6","58","16","1","-","-","-","-","-","-","121","-"
"3100104","Abadia dos Dourados (MG)","Total","20 a 24 anos","466","12","10","155","94","8","5","-","1","-","-","-","181","-"
"3100104","Abadia dos Dourados (MG)","Total","25 a 29 anos","523","19","17","160","110","32","15","6","2","1","-","-","161","-"
"3100104","Abadia dos Dourados (MG)","Total","30 a 34 anos","506","23","10","146","120","31","20","6","1","2","-","1","146","-"
"3100104","Abadia dos Dourados (MG)","Total","35 a 39 anos","528","17","13","183","125","35","15","8","-","1","-","-","131","-"
"3100104","Abadia dos Dourados (MG)","Total","40 a 44 anos","554","12","11","176","144","38","19","10","-","4","-","-","140","-"
"3100104","Abadia dos Dourados (MG)","Total","45 a 49 anos","464","9","8","141","119","32","17","10","4","3","3","-","118","-"
"3100104","Abadia dos Dourados (MG)","Total","50 a 54 anos","404","4","15","125","82","25","16","9","2","2","1","1","122","-"
"3100104","Abadia dos Dourados (MG)","Total","55 a 59 anos","411","5","10","162","95","20","15","14","2","2","2","2","82","-"
"3100104","Abadia dos Dourados (MG)","Total","60 a 69 anos","597","3","12","339","106","26","25","14","5","-","-","-","67","-"
"3100104","Abadia dos Dourados (MG)","Total","70 anos ou mais","384","-","2","230","84","17","8","11","-","-","1","-","31","-"
"3100203","Abaeté (MG)","Total","10 a 14 anos","1910","98","50","33","6","-","-","-","-","-","-","-","1723","-"
"3100203","Abaeté (MG)","Total","15 a 19 anos","1845","48","135","299","96","5","-","1","-","-","-","-","1261","-"
"3100203","Abaeté (MG)","Total","15 a 17 anos","1189","41","87","116","37","2","-","-","-","-","-","-","906","-"
"3100203","Abaeté (MG)","Total","18 ou 19 anos","656","7","48","183","59","3","-","1","-","-","-","-","355","-"
"3100203","Abaeté (MG)","Total","20 a 24 anos","1817","32","78","610","359","49","30","5","-","-","-","-","654","-"
