"Tabela 3277 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal, segundo a situação do domicílio, o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Sexo","Grupo de idade","Ano x Classes de rendimento nominal mensal x Situação do domicílio"
"Cód.","Município","Sexo","Grupo de idade","2010"
"Cód.","Município","Sexo","Grupo de idade","Total","Até 1/4 de salário mínimo","Mais de 1/4 a 1/2 salário mínimo","Mais de 1/2 a 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 15 salários mínimos","Mais de 15 a 20 salários mínimos","Mais de 20 a 30 salários mínimos","Mais de 30 salários mínimos","Sem rendimento","Sem declaração"
"Cód.","Município","Sexo","Grupo de idade","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"4100103","Abatiá (PR)","Total","10 a 14 anos","687","63","15","15","1","-","-","-","-","-","-","-","593","-"
"4100103","Abatiá (PR)","Total","15 a 19 anos","749","62","78","153","47","1","1","1","-","-","-","-","406","-"
"4100103","Abatiá (PR)","Total","15 a 17 anos","475","51","43","64","10","-","-","-","-","-","-","-","307","-"
"4100103","Abatiá (PR)","Total","18 ou 19 anos","274","11","35","89","37","1","1","1","-","-","-","-","99","-"
"4100103","Abatiá (PR)","Total","20 a 24 anos","593","22","39","231","138","7","5","1","-","-","-","-","150","-"
"4100103","Abatiá (PR)","Total","25 a 29 anos","537","14","26","173","161","23","20","5","1","-","-","1","113","-"
"4100103","Abatiá (PR)","Total","30 a 34 anos","530","19","34","158","150","28","23","13","-","-","2","-","103","-"
"4100103","Abatiá (PR)","Total","35 a 39 anos","548","22","29","198","148","24","17","3","-","-","-","-","107","-"
"4100103","Abatiá (PR)","Total","40 a 44 anos","592","25","36","200","143","36","27","11","2","2","-","-","110","-"
"4100103","Abatiá (PR)","Total","45 a 49 anos","555","17","46","196","121","19","21","15","-","2","1","3","114","-"
"4100103","Abatiá (PR)","Total","50 a 54 anos","500","11","34","175","105","13","19","8","2","-","-","-","133","-"
