"Tabela 3573 - Pessoas de 10 anos ou mais de idade, por condição de atividade e de ocupação na semana de referência, segundo o sexo, a condição no domicílio e o compartilhamento da responsabilidade pelo domicílio, a naturalidade em relação ao município e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Naturalidade em relação ao município","Grupo de idade","Ano x Condição de atividade e de ocupação na semana de referência x Sexo x Condição no domicílio e o compartilhamento da responsabilidade pelo domicílio"
"Cód.","Município","Naturalidade em relação ao município","Grupo de idade","2010"
"Cód.","Município","Naturalidade em relação ao município","Grupo de idade","Economicamente ativas - desocupadas"
"Cód.","Município","Naturalidade em relação ao município","Grupo de idade","Total"
"Cód.","Município","Naturalidade em relação ao município","Grupo de idade","Total"
"1100015","Alta Floresta D'Oeste (RO)","Total","Total","560"
"1100023","Ariquemes (RO)","Total","Total","2175"
"1100031","Cabixi (RO)","Total","Total","81"
"1100049","Cacoal (RO)","Total","Total","2411"
"1100056","Cerejeiras (RO)","Total","Total","468"
"1100064","Colorado do Oeste (RO)","Total","Total","586"
"1100072","Corumbiara (RO)","Total","Total","152"
"1100080","Costa Marques (RO)","Total","Total","291"
"1100098","Espigão D'Oeste (RO)","Total","Total","682"
"1100106","Guajará-Mirim (RO)","Total","Total","1146"
"1100114","Jaru (RO)","Total","Total","1336"
"1100122","Ji-Paraná (RO)","Total","Total","3593"
"1100130","Machadinho D'Oeste (RO)","Total","Total","529"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","Total","383"
"1100155","Ouro Preto do Oeste (RO)","Total","Total","1484"
"1100189","Pimenta Bueno (RO)","Total","Total","1072"
"1100205","Porto Velho (RO)","Total","Total","12476"
"1100254","Presidente Médici (RO)","Total","Total","626"
"1100262","Rio Crespo (RO)","Total","Total","98"
"1100288","Rolim de Moura (RO)","Total","Total","1684"
"1100296","Santa Luzia D'Oeste (RO)","Total","Total","355"
"1100304","Vilhena (RO)","Total","Total","3024"
"1100320","São Miguel do Guaporé (RO)","Total","Total","374"
"1100338","Nova Mamoré (RO)","Total","Total","378"
"1100346","Alvorada D'Oeste (RO)","Total","Total","388"
"1100379","Alto Alegre dos Parecis (RO)","Total","Total","332"
"1100403","Alto Paraíso (RO)","Total","Total","235"
"1100452","Buritis (RO)","Total","Total","910"
"1100502","Novo Horizonte do Oeste (RO)","Total","Total","238"
"1100601","Cacaulândia (RO)","Total","Total","121"
"1100700","Campo Novo de Rondônia (RO)","Total","Total","149"
"1100809","Candeias do Jamari (RO)","Total","Total","394"
"1100908","Castanheiras (RO)","Total","Total","54"
"1100924","Chupinguaia (RO)","Total","Total","153"
"1100940","Cujubim (RO)","Total","Total","464"
"1101005","Governador Jorge Teixeira (RO)","Total","Total","94"
"1101104","Itapuã do Oeste (RO)","Total","Total","219"
"1101203","Ministro Andreazza (RO)","Total","Total","106"
"1101302","Mirante da Serra (RO)","Total","Total","396"
"1101401","Monte Negro (RO)","Total","Total","187"
"1101435","Nova União (RO)","Total","Total","165"
"1101450","Parecis (RO)","Total","Total","42"
"1101468","Pimenteiras do Oeste (RO)","Total","Total","69"
"1101476","Primavera de Rondônia (RO)","Total","Total","94"
"1101484","São Felipe D'Oeste (RO)","Total","Total","137"
"1101492","São Francisco do Guaporé (RO)","Total","Total","461"
"1101500","Seringueiras (RO)","Total","Total","257"
"1101559","Teixeirópolis (RO)","Total","Total","82"
"1101609","Theobroma (RO)","Total","Total","296"
"1101708","Urupá (RO)","Total","Total","300"
"1101757","Vale do Anari (RO)","Total","Total","192"
"1101807","Vale do Paraíso (RO)","Total","Total","102"
"1200013","Acrelândia (AC)","Total","Total","491"
"1200054","Assis Brasil (AC)","Total","Total","160"
"1200104","Brasiléia (AC)","Total","Total","510"
"1200138","Bujari (AC)","Total","Total","114"
"1200179","Capixaba (AC)","Total","Total","167"
"1200203","Cruzeiro do Sul (AC)","Total","Total","2345"
"1200252","Epitaciolândia (AC)","Total","Total","469"
"1200302","Feijó (AC)","Total","Total","630"
"1200328","Jordão (AC)","Total","Total","136"
"1200336","Mâncio Lima (AC)","Total","Total","266"
"1200344","Manoel Urbano (AC)","Total","Total","75"
"1200351","Marechal Thaumaturgo (AC)","Total","Total","268"
"1200385","Plácido de Castro (AC)","Total","Total","471"
"1200393","Porto Walter (AC)","Total","Total","92"
"1200401","Rio Branco (AC)","Total","Total","14791"
"1200427","Rodrigues Alves (AC)","Total","Total","328"
"1200435","Santa Rosa do Purus (AC)","Total","Total","50"
"1200450","Senador Guiomard (AC)","Total","Total","586"
"1200500","Sena Madureira (AC)","Total","Total","1492"
"1200609","Tarauacá (AC)","Total","Total","434"
"1200708","Xapuri (AC)","Total","Total","321"
"1200807","Porto Acre (AC)","Total","Total","183"
"1300029","Alvarães (AM)","Total","Total","133"
"1300060","Amaturá (AM)","Total","Total","200"
"1300086","Anamã (AM)","Total","Total","367"
"1300102","Anori (AM)","Total","Total","603"
"1300144","Apuí (AM)","Total","Total","575"
"1300201","Atalaia do Norte (AM)","Total","Total","468"
"1300300","Autazes (AM)","Total","Total","640"
"1300409","Barcelos (AM)","Total","Total","1133"
"1300508","Barreirinha (AM)","Total","Total","1144"
"1300607","Benjamin Constant (AM)","Total","Total","818"
"1300631","Beruri (AM)","Total","Total","280"
"1300680","Boa Vista do Ramos (AM)","Total","Total","391"
"1300706","Boca do Acre (AM)","Total","Total","917"
"1300805","Borba (AM)","Total","Total","1327"
"1300839","Caapiranga (AM)","Total","Total","194"
"1300904","Canutama (AM)","Total","Total","230"
"1301001","Carauari (AM)","Total","Total","398"
"1301100","Careiro (AM)","Total","Total","655"
"1301159","Careiro da Várzea (AM)","Total","Total","321"
"1301209","Coari (AM)","Total","Total","3048"
"1301308","Codajás (AM)","Total","Total","762"
"1301407","Eirunepé (AM)","Total","Total","902"
"1301506","Envira (AM)","Total","Total","644"
"1301605","Fonte Boa (AM)","Total","Total","514"
"1301654","Guajará (AM)","Total","Total","121"
"1301704","Humaitá (AM)","Total","Total","1493"
"1301803","Ipixuna (AM)","Total","Total","329"
"1301852","Iranduba (AM)","Total","Total","919"
"1301902","Itacoatiara (AM)","Total","Total","3143"
"1301951","Itamarati (AM)","Total","Total","110"
"1302009","Itapiranga (AM)","Total","Total","287"
"1302108","Japurá (AM)","Total","Total","324"
"1302207","Juruá (AM)","Total","Total","356"
"1302306","Jutaí (AM)","Total","Total","323"
"1302405","Lábrea (AM)","Total","Total","1346"
"1302504","Manacapuru (AM)","Total","Total","3277"
"1302553","Manaquiri (AM)","Total","Total","645"
"1302603","Manaus (AM)","Total","Total","93799"
"1302702","Manicoré (AM)","Total","Total","1351"
"1302801","Maraã (AM)","Total","Total","967"
"1302900","Maués (AM)","Total","Total","810"
"1303007","Nhamundá (AM)","Total","Total","896"
"1303106","Nova Olinda do Norte (AM)","Total","Total","725"
"1303205","Novo Airão (AM)","Total","Total","335"
"1303304","Novo Aripuanã (AM)","Total","Total","759"
"1303403","Parintins (AM)","Total","Total","3430"
"1303502","Pauini (AM)","Total","Total","756"
"1303536","Presidente Figueiredo (AM)","Total","Total","658"
"1303569","Rio Preto da Eva (AM)","Total","Total","1812"
"1303601","Santa Isabel do Rio Negro (AM)","Total","Total","260"
"1303700","Santo Antônio do Içá (AM)","Total","Total","501"
"1303809","São Gabriel da Cachoeira (AM)","Total","Total","471"
"1303908","São Paulo de Olivença (AM)","Total","Total","450"
"1303957","São Sebastião do Uatumã (AM)","Total","Total","75"
"1304005","Silves (AM)","Total","Total","343"
"1304062","Tabatinga (AM)","Total","Total","1549"
"1304104","Tapauá (AM)","Total","Total","387"
"1304203","Tefé (AM)","Total","Total","1442"
"1304237","Tonantins (AM)","Total","Total","357"
"1304260","Uarini (AM)","Total","Total","77"
"1304302","Urucará (AM)","Total","Total","383"
"1304401","Urucurituba (AM)","Total","Total","643"
"1400027","Amajari (RR)","Total","Total","431"
"1400050","Alto Alegre (RR)","Total","Total","245"
"1400100","Boa Vista (RR)","Total","Total","10277"
"1400159","Bonfim (RR)","Total","Total","221"
"1400175","Cantá (RR)","Total","Total","243"
"1400209","Caracaraí (RR)","Total","Total","661"
"1400233","Caroebe (RR)","Total","Total","252"
"1400282","Iracema (RR)","Total","Total","451"
"1400308","Mucajaí (RR)","Total","Total","316"
"1400407","Normandia (RR)","Total","Total","897"
"1400456","Pacaraima (RR)","Total","Total","152"
"1400472","Rorainópolis (RR)","Total","Total","618"
"1400506","São João da Baliza (RR)","Total","Total","211"
"1400605","São Luiz (RR)","Total","Total","202"
"1400704","Uiramutã (RR)","Total","Total","42"
"1500107","Abaetetuba (PA)","Total","Total","4816"
"1500131","Abel Figueiredo (PA)","Total","Total","314"
"1500206","Acará (PA)","Total","Total","1719"
"1500305","Afuá (PA)","Total","Total","1351"
"1500347","Água Azul do Norte (PA)","Total","Total","1300"
"1500404","Alenquer (PA)","Total","Total","1372"
"1500503","Almeirim (PA)","Total","Total","1467"
"1500602","Altamira (PA)","Total","Total","3036"
"1500701","Anajás (PA)","Total","Total","480"
"1500800","Ananindeua (PA)","Total","Total","25263"
"1500859","Anapu (PA)","Total","Total","337"
"1500909","Augusto Corrêa (PA)","Total","Total","534"
"1500958","Aurora do Pará (PA)","Total","Total","629"
"1501006","Aveiro (PA)","Total","Total","331"
"1501105","Bagre (PA)","Total","Total","1109"
"1501204","Baião (PA)","Total","Total","617"
"1501253","Bannach (PA)","Total","Total","87"
"1501303","Barcarena (PA)","Total","Total","5498"
"1501402","Belém (PA)","Total","Total","68191"
"1501451","Belterra (PA)","Total","Total","711"
"1501501","Benevides (PA)","Total","Total","3164"
"1501576","Bom Jesus do Tocantins (PA)","Total","Total","413"
"1501600","Bonito (PA)","Total","Total","366"
"1501709","Bragança (PA)","Total","Total","2502"
"1501725","Brasil Novo (PA)","Total","Total","257"
"1501758","Brejo Grande do Araguaia (PA)","Total","Total","117"
"1501782","Breu Branco (PA)","Total","Total","2530"
"1501808","Breves (PA)","Total","Total","2774"
"1501907","Bujaru (PA)","Total","Total","313"
"1501956","Cachoeira do Piriá (PA)","Total","Total","406"
"1502004","Cachoeira do Arari (PA)","Total","Total","776"
"1502103","Cametá (PA)","Total","Total","3271"
"1502152","Canaã dos Carajás (PA)","Total","Total","1342"
"1502202","Capanema (PA)","Total","Total","2465"
"1502301","Capitão Poço (PA)","Total","Total","1262"
"1502400","Castanhal (PA)","Total","Total","7363"
"1502509","Chaves (PA)","Total","Total","432"
"1502608","Colares (PA)","Total","Total","207"
"1502707","Conceição do Araguaia (PA)","Total","Total","1394"
"1502756","Concórdia do Pará (PA)","Total","Total","565"
"1502764","Cumaru do Norte (PA)","Total","Total","363"
"1502772","Curionópolis (PA)","Total","Total","744"
"1502806","Curralinho (PA)","Total","Total","709"
"1502855","Curuá (PA)","Total","Total","168"
"1502905","Curuçá (PA)","Total","Total","911"
"1502939","Dom Eliseu (PA)","Total","Total","3014"
"1502954","Eldorado do Carajás (PA)","Total","Total","688"
"1503002","Faro (PA)","Total","Total","73"
"1503044","Floresta do Araguaia (PA)","Total","Total","894"
"1503077","Garrafão do Norte (PA)","Total","Total","304"
"1503093","Goianésia do Pará (PA)","Total","Total","985"
"1503101","Gurupá (PA)","Total","Total","520"
"1503200","Igarapé-Açu (PA)","Total","Total","1689"
"1503309","Igarapé-Miri (PA)","Total","Total","2008"
"1503408","Inhangapi (PA)","Total","Total","261"
"1503457","Ipixuna do Pará (PA)","Total","Total","1704"
"1503507","Irituia (PA)","Total","Total","533"
"1503606","Itaituba (PA)","Total","Total","2934"
"1503705","Itupiranga (PA)","Total","Total","1571"
"1503754","Jacareacanga (PA)","Total","Total","329"
"1503804","Jacundá (PA)","Total","Total","3404"
"1503903","Juruti (PA)","Total","Total","1517"
"1504000","Limoeiro do Ajuru (PA)","Total","Total","465"
"1504059","Mãe do Rio (PA)","Total","Total","771"
"1504109","Magalhães Barata (PA)","Total","Total","123"
"1504208","Marabá (PA)","Total","Total","9963"
"1504307","Maracanã (PA)","Total","Total","460"
"1504406","Marapanim (PA)","Total","Total","459"
"1504422","Marituba (PA)","Total","Total","6906"
"1504455","Medicilândia (PA)","Total","Total","292"
"1504505","Melgaço (PA)","Total","Total","1268"
"1504604","Mocajuba (PA)","Total","Total","1300"
"1504703","Moju (PA)","Total","Total","1561"
"1504802","Monte Alegre (PA)","Total","Total","1471"
"1504901","Muaná (PA)","Total","Total","1276"
"1504950","Nova Esperança do Piriá (PA)","Total","Total","112"
"1504976","Nova Ipixuna (PA)","Total","Total","425"
"1505007","Nova Timboteua (PA)","Total","Total","344"
"1505031","Novo Progresso (PA)","Total","Total","480"
"1505064","Novo Repartimento (PA)","Total","Total","1048"
"1505106","Óbidos (PA)","Total","Total","1075"
"1505205","Oeiras do Pará (PA)","Total","Total","458"
"1505304","Oriximiná (PA)","Total","Total","2455"
"1505403","Ourém (PA)","Total","Total","365"
"1505437","Ourilândia do Norte (PA)","Total","Total","782"
"1505486","Pacajá (PA)","Total","Total","619"
"1505494","Palestina do Pará (PA)","Total","Total","176"
"1505502","Paragominas (PA)","Total","Total","4353"
"1505536","Parauapebas (PA)","Total","Total","7765"
"1505551","Pau D'Arco (PA)","Total","Total","190"
"1505601","Peixe-Boi (PA)","Total","Total","299"
"1505635","Piçarra (PA)","Total","Total","637"
"1505650","Placas (PA)","Total","Total","611"
"1505700","Ponta de Pedras (PA)","Total","Total","892"
"1505809","Portel (PA)","Total","Total","1424"
"1505908","Porto de Moz (PA)","Total","Total","841"
"1506005","Prainha (PA)","Total","Total","472"
"1506104","Primavera (PA)","Total","Total","644"
"1506112","Quatipuru (PA)","Total","Total","512"
"1506138","Redenção (PA)","Total","Total","2688"
"1506161","Rio Maria (PA)","Total","Total","587"
"1506187","Rondon do Pará (PA)","Total","Total","2359"
"1506195","Rurópolis (PA)","Total","Total","1312"
"1506203","Salinópolis (PA)","Total","Total","1073"
"1506302","Salvaterra (PA)","Total","Total","376"
"1506351","Santa Bárbara do Pará (PA)","Total","Total","761"
"1506401","Santa Cruz do Arari (PA)","Total","Total","332"
"1506500","Santa Izabel do Pará (PA)","Total","Total","2473"
"1506559","Santa Luzia do Pará (PA)","Total","Total","470"
"1506583","Santa Maria das Barreiras (PA)","Total","Total","268"
"1506609","Santa Maria do Pará (PA)","Total","Total","458"
"1506708","Santana do Araguaia (PA)","Total","Total","4873"
"1506807","Santarém (PA)","Total","Total","11109"
"1506906","Santarém Novo (PA)","Total","Total","97"
"1507003","Santo Antônio do Tauá (PA)","Total","Total","904"
"1507102","São Caetano de Odivelas (PA)","Total","Total","569"
"1507151","São Domingos do Araguaia (PA)","Total","Total","701"
"1507201","São Domingos do Capim (PA)","Total","Total","477"
"1507300","São Félix do Xingu (PA)","Total","Total","2858"
"1507409","São Francisco do Pará (PA)","Total","Total","327"
"1507458","São Geraldo do Araguaia (PA)","Total","Total","835"
"1507466","São João da Ponta (PA)","Total","Total","50"
"1507474","São João de Pirabas (PA)","Total","Total","666"
"1507508","São João do Araguaia (PA)","Total","Total","221"
"1507607","São Miguel do Guamá (PA)","Total","Total","1140"
"1507706","São Sebastião da Boa Vista (PA)","Total","Total","354"
"1507755","Sapucaia (PA)","Total","Total","135"
"1507805","Senador José Porfírio (PA)","Total","Total","266"
"1507904","Soure (PA)","Total","Total","913"
"1507953","Tailândia (PA)","Total","Total","5455"
"1507961","Terra Alta (PA)","Total","Total","366"
"1507979","Terra Santa (PA)","Total","Total","395"
"1508001","Tomé-Açu (PA)","Total","Total","1809"
"1508035","Tracuateua (PA)","Total","Total","1163"
"1508050","Trairão (PA)","Total","Total","388"
"1508084","Tucumã (PA)","Total","Total","1258"
"1508100","Tucuruí (PA)","Total","Total","3979"
"1508126","Ulianópolis (PA)","Total","Total","2299"
"1508159","Uruará (PA)","Total","Total","1196"
"1508209","Vigia (PA)","Total","Total","1720"
"1508308","Viseu (PA)","Total","Total","973"
"1508357","Vitória do Xingu (PA)","Total","Total","434"
"1508407","Xinguara (PA)","Total","Total","1510"
"1600055","Serra do Navio (AP)","Total","Total","294"
"1600105","Amapá (AP)","Total","Total","474"
"1600154","Pedra Branca do Amapari (AP)","Total","Total","388"
"1600204","Calçoene (AP)","Total","Total","426"
"1600212","Cutias (AP)","Total","Total","165"
"1600238","Ferreira Gomes (AP)","Total","Total","326"
"1600253","Itaubal (AP)","Total","Total","400"
"1600279","Laranjal do Jari (AP)","Total","Total","1787"
"1600303","Macapá (AP)","Total","Total","21804"
"1600402","Mazagão (AP)","Total","Total","349"
"1600501","Oiapoque (AP)","Total","Total","745"
"1600535","Porto Grande (AP)","Total","Total","961"
"1600550","Pracuúba (AP)","Total","Total","70"
"1600600","Santana (AP)","Total","Total","5854"
"1600709","Tartarugalzinho (AP)","Total","Total","396"
"1600808","Vitória do Jari (AP)","Total","Total","814"
"1700251","Abreulândia (TO)","Total","Total","79"
"1700301","Aguiarnópolis (TO)","Total","Total","157"
"1700350","Aliança do Tocantins (TO)","Total","Total","352"
"1700400","Almas (TO)","Total","Total","368"
"1700707","Alvorada (TO)","Total","Total","144"
"1701002","Ananás (TO)","Total","Total","224"
"1701051","Angico (TO)","Total","Total","59"
"1701101","Aparecida do Rio Negro (TO)","Total","Total","80"
"1701309","Aragominas (TO)","Total","Total","188"
"1701903","Araguacema (TO)","Total","Total","233"
"1702000","Araguaçu (TO)","Total","Total","416"
"1702109","Araguaína (TO)","Total","Total","5125"
"1702158","Araguanã (TO)","Total","Total","172"
"1702208","Araguatins (TO)","Total","Total","812"
"1702307","Arapoema (TO)","Total","Total","184"
"1702406","Arraias (TO)","Total","Total","423"
"1702554","Augustinópolis (TO)","Total","Total","481"
"1702703","Aurora do Tocantins (TO)","Total","Total","32"
"1702901","Axixá do Tocantins (TO)","Total","Total","234"
"1703008","Babaçulândia (TO)","Total","Total","207"
"1703057","Bandeirantes do Tocantins (TO)","Total","Total","52"
"1703073","Barra do Ouro (TO)","Total","Total","273"
"1703107","Barrolândia (TO)","Total","Total","223"
"1703206","Bernardo Sayão (TO)","Total","Total","115"
"1703305","Bom Jesus do Tocantins (TO)","Total","Total","120"
"1703602","Brasilândia do Tocantins (TO)","Total","Total","32"
"1703701","Brejinho de Nazaré (TO)","Total","Total","194"
"1703800","Buriti do Tocantins (TO)","Total","Total","466"
"1703826","Cachoeirinha (TO)","Total","Total","36"
"1703842","Campos Lindos (TO)","Total","Total","516"
"1703867","Cariri do Tocantins (TO)","Total","Total","123"
"1703883","Carmolândia (TO)","Total","Total","84"
"1703891","Carrasco Bonito (TO)","Total","Total","154"
"1703909","Caseara (TO)","Total","Total","80"
