"Tabela 3603 - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, exclusive as pessoas cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou seu parente, por local de exercício do trabalho principal, segundo a situação do domicílio e as classes de rendimento nominal mensal domiciliar per capita"
"Variável - Pessoas de 10 anos ou mais de idade, residentes em domicílios particulares, ocupadas na semana de referência, cuja condição no domicílio não era pensionista, nem empregado(a) doméstico(a) ou seu parente (Pessoas)"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Ano x Local de exercício do trabalho principal x Situação do domicílio"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","2010"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Município de residência","Município de residência - no domicílio de residência","Município de residência - fora do domicílio de residência","Outro município","País estrangeiro","Mais de um município ou país"
"Cód.","Município","Classes de rendimento nominal mensal domiciliar per capita","Total","Total","Total","Total","Total","Total","Total"
"1100015","Alta Floresta D'Oeste (RO)","Total","9946","9646","2908","6738","229","11","59"
"1100023","Ariquemes (RO)","Total","42887","40532","12899","27633","1682","-","672"
"1100031","Cabixi (RO)","Total","2786","2687","1183","1504","97","-","3"
"1100049","Cacoal (RO)","Total","37513","36014","8876","27138","964","-","535"
"1100056","Cerejeiras (RO)","Total","8152","7564","1677","5887","446","5","137"
"1100064","Colorado do Oeste (RO)","Total","8226","7907","3016","4891","250","-","70"
"1100072","Corumbiara (RO)","Total","3960","3870","1572","2298","56","-","35"
"1100080","Costa Marques (RO)","Total","5903","5858","2409","3448","23","17","5"
"1100098","Espigão D'Oeste (RO)","Total","14366","13924","5354","8570","411","-","31"
"1100106","Guajará-Mirim (RO)","Total","15442","14671","3601","11070","719","33","20"
"1100114","Jaru (RO)","Total","23332","22493","7479","15015","574","-","265"
"1100122","Ji-Paraná (RO)","Total","56467","53269","14145","39124","1804","17","1377"
"1100130","Machadinho D'Oeste (RO)","Total","14370","14009","6395","7615","292","-","68"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","9750","9515","2102","7413","174","-","61"
"1100155","Ouro Preto do Oeste (RO)","Total","17610","16598","5453","11146","626","-","386"
"1100189","Pimenta Bueno (RO)","Total","17126","15967","3675","12292","817","9","333"
"1100205","Porto Velho (RO)","Total","201352","198593","51283","147310","1944","203","612"
"1100254","Presidente Médici (RO)","Total","10902","10271","4217","6054","468","-","163"
"1100262","Rio Crespo (RO)","Total","1262","1214","615","599","48","-","-"
"1100288","Rolim de Moura (RO)","Total","23358","22095","5173","16922","807","10","445"
"1100296","Santa Luzia D'Oeste (RO)","Total","4146","3838","1526","2312","256","5","47"
"1100304","Vilhena (RO)","Total","37918","35761","9310","26451","1156","-","1000"
"1100320","São Miguel do Guaporé (RO)","Total","9855","9733","4153","5580","68","-","54"
"1100338","Nova Mamoré (RO)","Total","10006","9651","4878","4773","344","-","11"
"1100346","Alvorada D'Oeste (RO)","Total","7128","6963","1894","5069","130","-","35"
"1100379","Alto Alegre dos Parecis (RO)","Total","5797","5624","2341","3283","147","-","26"
"1100403","Alto Paraíso (RO)","Total","8770","8613","3668","4945","152","-","5"
"1100452","Buritis (RO)","Total","15982","15490","7168","8323","405","-","87"
"1100502","Novo Horizonte do Oeste (RO)","Total","4557","4376","2578","1798","175","-","6"
"1100601","Cacaulândia (RO)","Total","2857","2763","1363","1400","49","-","46"
"1100700","Campo Novo de Rondônia (RO)","Total","5495","5361","3168","2194","134","-","-"
"1100809","Candeias do Jamari (RO)","Total","8372","5880","2484","3396","2414","-","78"
"1100908","Castanheiras (RO)","Total","1705","1624","883","740","81","-","1"
"1100924","Chupinguaia (RO)","Total","4202","4124","1521","2603","60","-","17"
"1100940","Cujubim (RO)","Total","7026","6932","1411","5521","74","-","20"
"1101005","Governador Jorge Teixeira (RO)","Total","4510","4430","2215","2215","75","-","5"
"1101104","Itapuã do Oeste (RO)","Total","4009","3732","1531","2201","256","-","21"
"1101203","Ministro Andreazza (RO)","Total","4538","4371","2655","1716","136","-","30"
"1101302","Mirante da Serra (RO)","Total","5477","5277","1463","3814","185","-","16"
"1101401","Monte Negro (RO)","Total","6649","6431","2970","3461","207","-","10"
"1101435","Nova União (RO)","Total","3904","3788","2528","1260","110","-","6"
"1101450","Parecis (RO)","Total","2008","1959","1218","741","42","-","7"
"1101468","Pimenteiras do Oeste (RO)","Total","994","976","382","594","11","3","3"
"1101476","Primavera de Rondônia (RO)","Total","1377","1223","701","522","151","-","3"
"1101484","São Felipe D'Oeste (RO)","Total","2667","2428","661","1767","213","-","26"
"1101492","São Francisco do Guaporé (RO)","Total","7762","7655","3563","4092","89","-","18"
"1101500","Seringueiras (RO)","Total","5942","5845","3867","1978","93","-","4"
"1101559","Teixeirópolis (RO)","Total","2441","2380","1009","1371","58","3","-"
"1101609","Theobroma (RO)","Total","5079","4895","2024","2872","174","-","10"
"1101708","Urupá (RO)","Total","6075","5875","3184","2691","140","5","55"
"1101757","Vale do Anari (RO)","Total","4347","4235","1970","2265","98","-","15"
"1101807","Vale do Paraíso (RO)","Total","3009","2915","1603","1311","94","-","-"
"1200013","Acrelândia (AC)","Total","4603","4380","1415","2965","214","-","9"
"1200054","Assis Brasil (AC)","Total","1960","1859","339","1520","15","54","32"
"1200104","Brasiléia (AC)","Total","8023","7124","3361","3763","359","259","281"
"1200138","Bujari (AC)","Total","3210","2885","1491","1394","323","-","2"
"1200179","Capixaba (AC)","Total","3871","3727","1973","1754","114","30","-"
"1200203","Cruzeiro do Sul (AC)","Total","27720","26692","7268","19424","818","-","211"
"1200252","Epitaciolândia (AC)","Total","6111","5138","1989","3148","488","303","183"
"1200302","Feijó (AC)","Total","10355","10307","5899","4409","47","-","-"
"1200328","Jordão (AC)","Total","1651","1651","866","785","-","-","-"
"1200336","Mâncio Lima (AC)","Total","4848","4627","1686","2941","217","-","4"
"1200344","Manoel Urbano (AC)","Total","2905","2881","682","2199","21","-","3"
"1200351","Marechal Thaumaturgo (AC)","Total","4999","4989","2119","2871","5","-","5"
"1200385","Plácido de Castro (AC)","Total","5414","5212","1979","3232","130","37","36"
"1200393","Porto Walter (AC)","Total","3376","3357","415","2941","20","-","-"
"1200401","Rio Branco (AC)","Total","138904","136724","33953","102771","1551","48","581"
"1200427","Rodrigues Alves (AC)","Total","4440","4353","1858","2495","87","-","-"
"1200435","Santa Rosa do Purus (AC)","Total","1186","1186","206","980","-","-","-"
"1200450","Senador Guiomard (AC)","Total","7669","6627","1850","4777","960","4","77"
"1200500","Sena Madureira (AC)","Total","14440","14204","4898","9305","146","-","90"
"1200609","Tarauacá (AC)","Total","11475","11378","4523","6855","98","-","-"
"1200708","Xapuri (AC)","Total","6547","6478","2736","3742","42","-","27"
"1200807","Porto Acre (AC)","Total","4458","4194","1625","2568","243","-","21"
"1300029","Alvarães (AM)","Total","3587","3505","401","3104","82","-","-"
"1300060","Amaturá (AM)","Total","2166","2157","669","1487","10","-","-"
"1300086","Anamã (AM)","Total","3815","3790","771","3018","26","-","-"
