"Tabela 3604 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país, por tempo habitual de deslocamento do domicílio para o trabalho principal, segundo a situação do domicílio e os grupos de horas habitualmente trabalhadas por semana no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio e retornavam diariamente do trabalho para o domicílio, exclusive as pessoas que, no trabalho principal, trabalhavam em mais de um município ou país (Pessoas)"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Situação do domicílio"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","2010"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Até cinco minutos","De seis minutos até meia hora","Mais de meia hora até uma hora","Mais de uma hora até duas horas","Mais de duas horas"
"Cód.","Município","Grupos de horas habitualmente trabalhadas por semana no trabalho principal","Total","Total","Total","Total","Total"
"1100015","Alta Floresta D'Oeste (RO)","Total","2026","3223","471","220","167"
"1100023","Ariquemes (RO)","Total","4790","19073","1851","321","199"
"1100031","Cabixi (RO)","Total","712","572","128","35","10"
"1100049","Cacoal (RO)","Total","6369","17531","2081","472","219"
"1100056","Cerejeiras (RO)","Total","2098","3225","335","102","28"
"1100064","Colorado do Oeste (RO)","Total","1361","2868","383","85","29"
"1100072","Corumbiara (RO)","Total","950","1063","149","42","20"
"1100080","Costa Marques (RO)","Total","1028","1759","257","101","32"
"1100098","Espigão D'Oeste (RO)","Total","2368","4605","338","186","239"
"1100106","Guajará-Mirim (RO)","Total","2273","7328","693","86","100"
"1100114","Jaru (RO)","Total","3139","10427","874","101","65"
"1100122","Ji-Paraná (RO)","Total","7514","26007","3091","496","445"
"1100130","Machadinho D'Oeste (RO)","Total","1903","4095","518","162","72"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","2250","4451","495","62","52"
"1100155","Ouro Preto do Oeste (RO)","Total","2776","6948","936","123","88"
"1100189","Pimenta Bueno (RO)","Total","2905","8101","741","168","77"
"1100205","Porto Velho (RO)","Total","14113","86343","31466","8109","2396"
"1100254","Presidente Médici (RO)","Total","1950","3454","393","196","74"
"1100262","Rio Crespo (RO)","Total","304","202","66","13","4"
"1100288","Rolim de Moura (RO)","Total","3801","11294","1307","213","55"
"1100296","Santa Luzia D'Oeste (RO)","Total","739","1311","195","44","25"
"1100304","Vilhena (RO)","Total","4952","18329","1583","248","105"
"1100320","São Miguel do Guaporé (RO)","Total","1561","3269","421","82","21"
"1100338","Nova Mamoré (RO)","Total","1425","2539","268","68","61"
"1100346","Alvorada D'Oeste (RO)","Total","1738","2443","548","144","27"
"1100379","Alto Alegre dos Parecis (RO)","Total","1010","1570","368","109","19"
"1100403","Alto Paraíso (RO)","Total","1186","3155","356","68","20"
"1100452","Buritis (RO)","Total","2156","4397","504","70","209"
"1100502","Novo Horizonte do Oeste (RO)","Total","928","711","134","23","22"
"1100601","Cacaulândia (RO)","Total","560","615","107","21","6"
"1100700","Campo Novo de Rondônia (RO)","Total","725","853","170","59","27"
"1100809","Candeias do Jamari (RO)","Total","803","2671","1318","324","87"
"1100908","Castanheiras (RO)","Total","300","321","73","22","3"
"1100924","Chupinguaia (RO)","Total","636","1478","191","56","37"
"1100940","Cujubim (RO)","Total","1192","3153","364","173","77"
"1101005","Governador Jorge Teixeira (RO)","Total","684","1223","153","20","34"
"1101104","Itapuã do Oeste (RO)","Total","588","1173","188","40","18"
"1101203","Ministro Andreazza (RO)","Total","614","981","118","9","14"
"1101302","Mirante da Serra (RO)","Total","1356","2058","262","49","5"
"1101401","Monte Negro (RO)","Total","698","2235","262","33","17"
"1101435","Nova União (RO)","Total","465","626","139","40","27"
"1101450","Parecis (RO)","Total","171","387","98","25","-"
"1101468","Pimenteiras do Oeste (RO)","Total","212","237","45","8","7"
"1101476","Primavera de Rondônia (RO)","Total","250","184","101","31","-"
"1101484","São Felipe D'Oeste (RO)","Total","641","948","162","59","18"
"1101492","São Francisco do Guaporé (RO)","Total","930","2415","269","63","38"
"1101500","Seringueiras (RO)","Total","642","964","129","37","4"
"1101559","Teixeirópolis (RO)","Total","538","731","55","25","23"
"1101609","Theobroma (RO)","Total","958","1364","375","95","8"
"1101708","Urupá (RO)","Total","805","1506","278","54","11"
"1101757","Vale do Anari (RO)","Total","712","1315","129","23","8"
"1101807","Vale do Paraíso (RO)","Total","541","517","166","45","38"
"1200013","Acrelândia (AC)","Total","510","1925","277","62","28"
"1200054","Assis Brasil (AC)","Total","546","671","102","30","15"
"1200104","Brasiléia (AC)","Total","1044","2364","364","59","111"
"1200138","Bujari (AC)","Total","222","872","282","78","15"
"1200179","Capixaba (AC)","Total","610","881","128","31","21"
"1200203","Cruzeiro do Sul (AC)","Total","3764","12384","1933","289","235"
"1200252","Epitaciolândia (AC)","Total","747","2389","358","43","41"
