"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.","Município","Situação do domicílio","Grupo de idade","Ano x Condição de atividade x Sexo"
"Cód.","Município","Situação do domicílio","Grupo de idade","2010"
"Cód.","Município","Situação do domicílio","Grupo de idade","Economicamente ativa"
"Cód.","Município","Situação do domicílio","Grupo de idade","Total"
"1100015","Alta Floresta D'Oeste (RO)","Total","Total","10526"
"1100023","Ariquemes (RO)","Total","Total","45162"
"1100031","Cabixi (RO)","Total","Total","2867"
"1100049","Cacoal (RO)","Total","Total","39977"
"1100056","Cerejeiras (RO)","Total","Total","8670"
"1100064","Colorado do Oeste (RO)","Total","Total","8837"
"1100072","Corumbiara (RO)","Total","Total","4243"
"1100080","Costa Marques (RO)","Total","Total","6262"
"1100098","Espigão D'Oeste (RO)","Total","Total","15048"
"1100106","Guajará-Mirim (RO)","Total","Total","16843"
"1100114","Jaru (RO)","Total","Total","24719"
"1100122","Ji-Paraná (RO)","Total","Total","60167"
"1100130","Machadinho D'Oeste (RO)","Total","Total","14908"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","Total","10169"
"1100155","Ouro Preto do Oeste (RO)","Total","Total","19181"
"1100189","Pimenta Bueno (RO)","Total","Total","18255"
"1100205","Porto Velho (RO)","Total","Total","214877"
"1100254","Presidente Médici (RO)","Total","Total","11553"
"1100262","Rio Crespo (RO)","Total","Total","1360"
"1100288","Rolim de Moura (RO)","Total","Total","25269"
"1100296","Santa Luzia D'Oeste (RO)","Total","Total","4510"
"1100304","Vilhena (RO)","Total","Total","41060"
"1100320","São Miguel do Guaporé (RO)","Total","Total","10228"
"1100338","Nova Mamoré (RO)","Total","Total","10395"
"1100346","Alvorada D'Oeste (RO)","Total","Total","7567"
"1100379","Alto Alegre dos Parecis (RO)","Total","Total","6148"
"1100403","Alto Paraíso (RO)","Total","Total","9014"
"1100452","Buritis (RO)","Total","Total","16916"
"1100502","Novo Horizonte do Oeste (RO)","Total","Total","4795"
"1100601","Cacaulândia (RO)","Total","Total","2988"
"1100700","Campo Novo de Rondônia (RO)","Total","Total","5659"
"1100809","Candeias do Jamari (RO)","Total","Total","8775"
"1100908","Castanheiras (RO)","Total","Total","1769"
"1100924","Chupinguaia (RO)","Total","Total","4420"
"1100940","Cujubim (RO)","Total","Total","7527"
"1101005","Governador Jorge Teixeira (RO)","Total","Total","4609"
"1101104","Itapuã do Oeste (RO)","Total","Total","4243"
"1101203","Ministro Andreazza (RO)","Total","Total","4644"
"1101302","Mirante da Serra (RO)","Total","Total","5874"
"1101401","Monte Negro (RO)","Total","Total","6858"
"1101435","Nova União (RO)","Total","Total","4070"
"1101450","Parecis (RO)","Total","Total","2055"
"1101468","Pimenteiras do Oeste (RO)","Total","Total","1080"
"1101476","Primavera de Rondônia (RO)","Total","Total","1476"
"1101484","São Felipe D'Oeste (RO)","Total","Total","2811"
"1101492","São Francisco do Guaporé (RO)","Total","Total","8245"
"1101500","Seringueiras (RO)","Total","Total","6199"
"1101559","Teixeirópolis (RO)","Total","Total","2535"
"1101609","Theobroma (RO)","Total","Total","5415"
"1101708","Urupá (RO)","Total","Total","6391"
"1101757","Vale do Anari (RO)","Total","Total","4539"
"1101807","Vale do Paraíso (RO)","Total","Total","3115"
"1200013","Acrelândia (AC)","Total","Total","5094"
"1200054","Assis Brasil (AC)","Total","Total","2151"
"1200104","Brasiléia (AC)","Total","Total","8547"
"1200138","Bujari (AC)","Total","Total","3345"
"1200179","Capixaba (AC)","Total","Total","4038"
"1200203","Cruzeiro do Sul (AC)","Total","Total","30252"
"1200252","Epitaciolândia (AC)","Total","Total","6585"
"1200302","Feijó (AC)","Total","Total","11033"
"1200328","Jordão (AC)","Total","Total","1804"
"1200336","Mâncio Lima (AC)","Total","Total","5115"
"1200344","Manoel Urbano (AC)","Total","Total","2980"
"1200351","Marechal Thaumaturgo (AC)","Total","Total","5275"
"1200385","Plácido de Castro (AC)","Total","Total","5920"
"1200393","Porto Walter (AC)","Total","Total","3486"
"1200401","Rio Branco (AC)","Total","Total","154286"
"1200427","Rodrigues Alves (AC)","Total","Total","4779"
"1200435","Santa Rosa do Purus (AC)","Total","Total","1248"
"1200450","Senador Guiomard (AC)","Total","Total","8289"
"1200500","Sena Madureira (AC)","Total","Total","15941"
"1200609","Tarauacá (AC)","Total","Total","11961"
"1200708","Xapuri (AC)","Total","Total","6895"
"1200807","Porto Acre (AC)","Total","Total","4640"
"1300029","Alvarães (AM)","Total","Total","3731"
"1300060","Amaturá (AM)","Total","Total","2404"
"1300086","Anamã (AM)","Total","Total","4202"
"1300102","Anori (AM)","Total","Total","6669"
"1300144","Apuí (AM)","Total","Total","8184"
"1300201","Atalaia do Norte (AM)","Total","Total","5611"
"1300300","Autazes (AM)","Total","Total","11988"
"1300409","Barcelos (AM)","Total","Total","7077"
"1300508","Barreirinha (AM)","Total","Total","9776"
"1300607","Benjamin Constant (AM)","Total","Total","12549"
"1300631","Beruri (AM)","Total","Total","5172"
"1300680","Boa Vista do Ramos (AM)","Total","Total","5333"
"1300706","Boca do Acre (AM)","Total","Total","10919"
"1300805","Borba (AM)","Total","Total","13464"
